priority,chapter,country,rows,file
Low,Data Exchange,SOM,9,2_Low__Data-Exchange__SOM.csv
Low,Data Exchange,SSD,12,2_Low__Data-Exchange__SSD.csv
Low,Data Exchange,STP,11,2_Low__Data-Exchange__STP.csv
Low,Data Exchange,SWZ,9,2_Low__Data-Exchange__SWZ.csv
Low,Data Exchange,SYC,11,2_Low__Data-Exchange__SYC.csv
Low,Data Exchange,TCD,9,2_Low__Data-Exchange__TCD.csv
Low,Data Exchange,TGO,7,2_Low__Data-Exchange__TGO.csv
Low,Data Exchange,TUN,1,2_Low__Data-Exchange__TUN.csv
Low,Data Exchange,TZA,6,2_Low__Data-Exchange__TZA.csv
Low,Data Exchange,UGA,2,2_Low__Data-Exchange__UGA.csv
Low,Data Exchange,ZAF,1,2_Low__Data-Exchange__ZAF.csv
Low,Data Exchange,ZMB,2,2_Low__Data-Exchange__ZMB.csv
Low,Data Exchange,ZWE,3,2_Low__Data-Exchange__ZWE.csv
Low,Digital Id,AGO,1,2_Low__Digital-Id__AGO.csv
Low,Digital Id,BDI,4,2_Low__Digital-Id__BDI.csv
Low,Digital Id,COD,1,2_Low__Digital-Id__COD.csv
Low,Digital Id,COM,6,2_Low__Digital-Id__COM.csv
Low,Digital Id,DJI,1,2_Low__Digital-Id__DJI.csv
Low,Digital Id,DZA,5,2_Low__Digital-Id__DZA.csv
Low,Digital Id,ERI,17,2_Low__Digital-Id__ERI.csv
Low,Digital Id,GIN,4,2_Low__Digital-Id__GIN.csv
Low,Digital Id,GMB,2,2_Low__Digital-Id__GMB.csv
Low,Digital Id,GNB,9,2_Low__Digital-Id__GNB.csv
Low,Digital Id,GNQ,5,2_Low__Digital-Id__GNQ.csv
Low,Digital Id,LBR,3,2_Low__Digital-Id__LBR.csv
Low,Digital Id,LBY,7,2_Low__Digital-Id__LBY.csv
Low,Digital Id,LSO,2,2_Low__Digital-Id__LSO.csv
Low,Digital Id,MDG,1,2_Low__Digital-Id__MDG.csv
Low,Digital Id,NER,3,2_Low__Digital-Id__NER.csv
Low,Digital Id,SDN,2,2_Low__Digital-Id__SDN.csv
Low,Digital Id,SSD,1,2_Low__Digital-Id__SSD.csv
Low,Digital Id,STP,2,2_Low__Digital-Id__STP.csv
Low,Digital Id,SWZ,4,2_Low__Digital-Id__SWZ.csv
Low,Digital Id,TCD,3,2_Low__Digital-Id__TCD.csv
Low,Digital Pay,BDI,3,2_Low__Digital-Pay__BDI.csv
Low,Digital Pay,BEN,8,2_Low__Digital-Pay__BEN.csv
Low,Digital Pay,BFA,4,2_Low__Digital-Pay__BFA.csv
Low,Digital Pay,BWA,9,2_Low__Digital-Pay__BWA.csv
Low,Digital Pay,CAF,8,2_Low__Digital-Pay__CAF.csv
Low,Digital Pay,CIV,7,2_Low__Digital-Pay__CIV.csv
Low,Digital Pay,CMR,7,2_Low__Digital-Pay__CMR.csv
Low,Digital Pay,COD,9,2_Low__Digital-Pay__COD.csv
Low,Digital Pay,COG,11,2_Low__Digital-Pay__COG.csv
Low,Digital Pay,COM,14,2_Low__Digital-Pay__COM.csv
Low,Digital Pay,CPV,16,2_Low__Digital-Pay__CPV.csv
Low,Digital Pay,DJI,9,2_Low__Digital-Pay__DJI.csv
Low,Digital Pay,DZA,6,2_Low__Digital-Pay__DZA.csv
Low,Digital Pay,EGY,5,2_Low__Digital-Pay__EGY.csv
Low,Digital Pay,ERI,21,2_Low__Digital-Pay__ERI.csv
Low,Digital Pay,ETH,4,2_Low__Digital-Pay__ETH.csv
Low,Digital Pay,GAB,3,2_Low__Digital-Pay__GAB.csv
Low,Digital Pay,GIN,9,2_Low__Digital-Pay__GIN.csv
Low,Digital Pay,GMB,6,2_Low__Digital-Pay__GMB.csv
Low,Digital Pay,GNB,9,2_Low__Digital-Pay__GNB.csv
Low,Digital Pay,GNQ,7,2_Low__Digital-Pay__GNQ.csv
Low,Digital Pay,KEN,6,2_Low__Digital-Pay__KEN.csv
Low,Digital Pay,LBR,5,2_Low__Digital-Pay__LBR.csv
Low,Digital Pay,LBY,8,2_Low__Digital-Pay__LBY.csv
Low,Digital Pay,LSO,8,2_Low__Digital-Pay__LSO.csv
Low,Digital Pay,MAR,9,2_Low__Digital-Pay__MAR.csv
Low,Digital Pay,MLI,3,2_Low__Digital-Pay__MLI.csv
Low,Digital Pay,MOZ,3,2_Low__Digital-Pay__MOZ.csv
Low,Digital Pay,MRT,7,2_Low__Digital-Pay__MRT.csv
Low,Digital Pay,MUS,3,2_Low__Digital-Pay__MUS.csv
Low,Digital Pay,NAM,5,2_Low__Digital-Pay__NAM.csv
Low,Digital Pay,NER,9,2_Low__Digital-Pay__NER.csv
Low,Digital Pay,NGA,2,2_Low__Digital-Pay__NGA.csv
Low,Digital Pay,RWA,6,2_Low__Digital-Pay__RWA.csv
Low,Digital Pay,SDN,14,2_Low__Digital-Pay__SDN.csv
Low,Digital Pay,SEN,10,2_Low__Digital-Pay__SEN.csv
Low,Digital Pay,SLE,5,2_Low__Digital-Pay__SLE.csv
Low,Digital Pay,SOM,5,2_Low__Digital-Pay__SOM.csv
Low,Digital Pay,SSD,8,2_Low__Digital-Pay__SSD.csv
Low,Digital Pay,STP,10,2_Low__Digital-Pay__STP.csv
Low,Digital Pay,SWZ,11,2_Low__Digital-Pay__SWZ.csv
Low,Digital Pay,SYC,6,2_Low__Digital-Pay__SYC.csv
Low,Digital Pay,TCD,6,2_Low__Digital-Pay__TCD.csv
Low,Digital Pay,TGO,7,2_Low__Digital-Pay__TGO.csv
Low,Digital Pay,TUN,4,2_Low__Digital-Pay__TUN.csv
Low,Digital Pay,TZA,4,2_Low__Digital-Pay__TZA.csv
Low,Digital Pay,ZAF,1,2_Low__Digital-Pay__ZAF.csv
Low,Digital Pay,ZWE,1,2_Low__Digital-Pay__ZWE.csv
Low,ICT Infrastructure,AGO,3,2_Low__ICT-Infrastructure__AGO.csv
Low,ICT Infrastructure,BDI,11,2_Low__ICT-Infrastructure__BDI.csv
Low,ICT Infrastructure,BEN,8,2_Low__ICT-Infrastructure__BEN.csv
Low,ICT Infrastructure,BFA,2,2_Low__ICT-Infrastructure__BFA.csv
Low,ICT Infrastructure,BWA,8,2_Low__ICT-Infrastructure__BWA.csv
Low,ICT Infrastructure,CAF,2,2_Low__ICT-Infrastructure__CAF.csv
Low,ICT Infrastructure,CIV,9,2_Low__ICT-Infrastructure__CIV.csv
Low,ICT Infrastructure,CMR,3,2_Low__ICT-Infrastructure__CMR.csv
Low,ICT Infrastructure,COD,4,2_Low__ICT-Infrastructure__COD.csv
Low,ICT Infrastructure,COG,11,2_Low__ICT-Infrastructure__COG.csv
Low,ICT Infrastructure,COM,6,2_Low__ICT-Infrastructure__COM.csv
Low,ICT Infrastructure,CPV,4,2_Low__ICT-Infrastructure__CPV.csv
Low,ICT Infrastructure,DJI,5,2_Low__ICT-Infrastructure__DJI.csv
Low,ICT Infrastructure,DZA,8,2_Low__ICT-Infrastructure__DZA.csv
Low,ICT Infrastructure,EGY,7,2_Low__ICT-Infrastructure__EGY.csv
Low,ICT Infrastructure,ERI,9,2_Low__ICT-Infrastructure__ERI.csv
Low,ICT Infrastructure,ETH,2,2_Low__ICT-Infrastructure__ETH.csv
Low,ICT Infrastructure,GAB,9,2_Low__ICT-Infrastructure__GAB.csv
Low,ICT Infrastructure,GHA,3,2_Low__ICT-Infrastructure__GHA.csv
Low,ICT Infrastructure,GIN,11,2_Low__ICT-Infrastructure__GIN.csv
Low,ICT Infrastructure,GMB,1,2_Low__ICT-Infrastructure__GMB.csv
Low,ICT Infrastructure,GNB,6,2_Low__ICT-Infrastructure__GNB.csv
Low,ICT Infrastructure,GNQ,13,2_Low__ICT-Infrastructure__GNQ.csv
Low,ICT Infrastructure,KEN,6,2_Low__ICT-Infrastructure__KEN.csv
Low,ICT Infrastructure,LBR,8,2_Low__ICT-Infrastructure__LBR.csv
Low,ICT Infrastructure,LBY,10,2_Low__ICT-Infrastructure__LBY.csv
Low,ICT Infrastructure,LSO,2,2_Low__ICT-Infrastructure__LSO.csv
Low,ICT Infrastructure,MAR,1,2_Low__ICT-Infrastructure__MAR.csv
Low,ICT Infrastructure,MDG,6,2_Low__ICT-Infrastructure__MDG.csv
Low,ICT Infrastructure,MLI,9,2_Low__ICT-Infrastructure__MLI.csv
Low,ICT Infrastructure,MOZ,8,2_Low__ICT-Infrastructure__MOZ.csv
Low,ICT Infrastructure,MRT,10,2_Low__ICT-Infrastructure__MRT.csv
Low,ICT Infrastructure,MUS,2,2_Low__ICT-Infrastructure__MUS.csv
Low,ICT Infrastructure,MWI,7,2_Low__ICT-Infrastructure__MWI.csv
Low,ICT Infrastructure,NAM,1,2_Low__ICT-Infrastructure__NAM.csv
Low,ICT Infrastructure,NER,10,2_Low__ICT-Infrastructure__NER.csv
Low,ICT Infrastructure,NGA,6,2_Low__ICT-Infrastructure__NGA.csv
Low,ICT Infrastructure,RWA,1,2_Low__ICT-Infrastructure__RWA.csv
Low,ICT Infrastructure,SDN,10,2_Low__ICT-Infrastructure__SDN.csv
Low,ICT Infrastructure,SEN,6,2_Low__ICT-Infrastructure__SEN.csv
Low,ICT Infrastructure,SLE,7,2_Low__ICT-Infrastructure__SLE.csv
Low,ICT Infrastructure,SOM,12,2_Low__ICT-Infrastructure__SOM.csv
Low,ICT Infrastructure,SSD,5,2_Low__ICT-Infrastructure__SSD.csv
Low,ICT Infrastructure,STP,3,2_Low__ICT-Infrastructure__STP.csv
Low,ICT Infrastructure,SWZ,7,2_Low__ICT-Infrastructure__SWZ.csv
Low,ICT Infrastructure,SYC,5,2_Low__ICT-Infrastructure__SYC.csv
Low,ICT Infrastructure,TCD,12,2_Low__ICT-Infrastructure__TCD.csv
Low,ICT Infrastructure,TGO,9,2_Low__ICT-Infrastructure__TGO.csv
Low,ICT Infrastructure,TUN,3,2_Low__ICT-Infrastructure__TUN.csv
Low,ICT Infrastructure,TZA,1,2_Low__ICT-Infrastructure__TZA.csv
Low,ICT Infrastructure,UGA,1,2_Low__ICT-Infrastructure__UGA.csv
Low,ICT Infrastructure,ZAF,4,2_Low__ICT-Infrastructure__ZAF.csv
Low,ICT Infrastructure,ZMB,7,2_Low__ICT-Infrastructure__ZMB.csv
Low,ICT Infrastructure,ZWE,7,2_Low__ICT-Infrastructure__ZWE.csv
Low,Registries,AGO,31,2_Low__Registries__AGO.csv
Low,Registries,BDI,33,2_Low__Registries__BDI.csv
Low,Registries,BEN,23,2_Low__Registries__BEN.csv
Low,Registries,BFA,20,2_Low__Registries__BFA.csv
Low,Registries,BWA,5,2_Low__Registries__BWA.csv
Low,Registries,CAF,34,2_Low__Registries__CAF.csv
Low,Registries,CIV,28,2_Low__Registries__CIV.csv
Low,Registries,CMR,23,2_Low__Registries__CMR.csv
Low,Registries,COD,33,2_Low__Registries__COD.csv
Low,Registries,COG,38,2_Low__Registries__COG.csv
Low,Registries,COM,34,2_Low__Registries__COM.csv
Low,Registries,CPV,24,2_Low__Registries__CPV.csv
Low,Registries,DJI,38,2_Low__Registries__DJI.csv
Low,Registries,DZA,29,2_Low__Registries__DZA.csv
Low,Registries,EGY,23,2_Low__Registries__EGY.csv
Low,Registries,ERI,29,2_Low__Registries__ERI.csv
Low,Registries,ETH,23,2_Low__Registries__ETH.csv
Low,Registries,GAB,30,2_Low__Registries__GAB.csv
Low,Registries,GHA,20,2_Low__Registries__GHA.csv
Low,Registries,GIN,28,2_Low__Registries__GIN.csv
Low,Registries,GMB,34,2_Low__Registries__GMB.csv
Low,Registries,GNB,27,2_Low__Registries__GNB.csv
Low,Registries,GNQ,29,2_Low__Registries__GNQ.csv
Low,Registries,KEN,23,2_Low__Registries__KEN.csv
Low,Registries,LBR,22,2_Low__Registries__LBR.csv
Low,Registries,LBY,30,2_Low__Registries__LBY.csv
Low,Registries,LSO,20,2_Low__Registries__LSO.csv
Low,Registries,MAR,21,2_Low__Registries__MAR.csv
Low,Registries,MDG,26,2_Low__Registries__MDG.csv
Low,Registries,MLI,33,2_Low__Registries__MLI.csv
Low,Registries,MOZ,26,2_Low__Registries__MOZ.csv
Low,Registries,MRT,17,2_Low__Registries__MRT.csv
Low,Registries,MUS,24,2_Low__Registries__MUS.csv
Low,Registries,MWI,20,2_Low__Registries__MWI.csv
Low,Registries,NAM,22,2_Low__Registries__NAM.csv
Low,Registries,NER,30,2_Low__Registries__NER.csv
Low,Registries,NGA,22,2_Low__Registries__NGA.csv
Low,Registries,RWA,24,2_Low__Registries__RWA.csv
Low,Registries,SDN,31,2_Low__Registries__SDN.csv
Low,Registries,SEN,15,2_Low__Registries__SEN.csv
Low,Registries,SLE,12,2_Low__Registries__SLE.csv
Low,Registries,SOM,31,2_Low__Registries__SOM.csv
Low,Registries,SSD,33,2_Low__Registries__SSD.csv
Low,Registries,STP,32,2_Low__Registries__STP.csv
Low,Registries,SWZ,27,2_Low__Registries__SWZ.csv
Low,Registries,SYC,28,2_Low__Registries__SYC.csv
Low,Registries,TCD,37,2_Low__Registries__TCD.csv
Low,Registries,TGO,15,2_Low__Registries__TGO.csv
Low,Registries,TUN,21,2_Low__Registries__TUN.csv
Low,Registries,TZA,14,2_Low__Registries__TZA.csv
Low,Registries,UGA,15,2_Low__Registries__UGA.csv
Low,Registries,ZAF,16,2_Low__Registries__ZAF.csv
Low,Registries,ZMB,18,2_Low__Registries__ZMB.csv
Low,Registries,ZWE,30,2_Low__Registries__ZWE.csv
Medium,Data Exchange,AGO,13,1_Medium__Data-Exchange__AGO.csv
Medium,Data Exchange,BDI,1,1_Medium__Data-Exchange__BDI.csv
Medium,Data Exchange,BEN,1,1_Medium__Data-Exchange__BEN.csv
Medium,Data Exchange,BFA,6,1_Medium__Data-Exchange__BFA.csv
Medium,Data Exchange,BWA,8,1_Medium__Data-Exchange__BWA.csv
Medium,Data Exchange,CAF,5,1_Medium__Data-Exchange__CAF.csv
Medium,Data Exchange,CIV,5,1_Medium__Data-Exchange__CIV.csv
Medium,Data Exchange,CMR,16,1_Medium__Data-Exchange__CMR.csv
Medium,Data Exchange,COD,13,1_Medium__Data-Exchange__COD.csv
Medium,Data Exchange,COG,2,1_Medium__Data-Exchange__COG.csv
Medium,Data Exchange,COM,9,1_Medium__Data-Exchange__COM.csv
Medium,Data Exchange,CPV,10,1_Medium__Data-Exchange__CPV.csv
Medium,Data Exchange,DJI,3,1_Medium__Data-Exchange__DJI.csv
Medium,Data Exchange,DZA,12,1_Medium__Data-Exchange__DZA.csv
Medium,Data Exchange,EGY,7,1_Medium__Data-Exchange__EGY.csv
Medium,Data Exchange,ERI,1,1_Medium__Data-Exchange__ERI.csv
Medium,Data Exchange,ETH,5,1_Medium__Data-Exchange__ETH.csv
Medium,Data Exchange,GAB,2,1_Medium__Data-Exchange__GAB.csv
Medium,Data Exchange,GHA,4,1_Medium__Data-Exchange__GHA.csv
Medium,Data Exchange,GIN,2,1_Medium__Data-Exchange__GIN.csv
Medium,Data Exchange,GMB,5,1_Medium__Data-Exchange__GMB.csv
Medium,Data Exchange,GNB,2,1_Medium__Data-Exchange__GNB.csv
Medium,Data Exchange,KEN,1,1_Medium__Data-Exchange__KEN.csv
Medium,Data Exchange,LBY,1,1_Medium__Data-Exchange__LBY.csv
Medium,Data Exchange,LSO,7,1_Medium__Data-Exchange__LSO.csv
Medium,Data Exchange,MAR,11,1_Medium__Data-Exchange__MAR.csv
Medium,Data Exchange,MDG,1,1_Medium__Data-Exchange__MDG.csv
Medium,Data Exchange,MOZ,1,1_Medium__Data-Exchange__MOZ.csv
Medium,Data Exchange,MRT,1,1_Medium__Data-Exchange__MRT.csv
Medium,Data Exchange,MUS,1,1_Medium__Data-Exchange__MUS.csv
Medium,Data Exchange,MWI,13,1_Medium__Data-Exchange__MWI.csv
Medium,Data Exchange,NAM,12,1_Medium__Data-Exchange__NAM.csv
Medium,Data Exchange,NER,5,1_Medium__Data-Exchange__NER.csv
Medium,Data Exchange,NGA,12,1_Medium__Data-Exchange__NGA.csv
Medium,Data Exchange,RWA,8,1_Medium__Data-Exchange__RWA.csv
Medium,Data Exchange,SDN,2,1_Medium__Data-Exchange__SDN.csv
Medium,Data Exchange,SEN,12,1_Medium__Data-Exchange__SEN.csv
Medium,Data Exchange,SLE,4,1_Medium__Data-Exchange__SLE.csv
Medium,Data Exchange,SSD,4,1_Medium__Data-Exchange__SSD.csv
Medium,Data Exchange,STP,5,1_Medium__Data-Exchange__STP.csv
Medium,Data Exchange,SWZ,6,1_Medium__Data-Exchange__SWZ.csv
Medium,Data Exchange,SYC,6,1_Medium__Data-Exchange__SYC.csv
Medium,Data Exchange,TCD,4,1_Medium__Data-Exchange__TCD.csv
Medium,Data Exchange,TGO,18,1_Medium__Data-Exchange__TGO.csv
Medium,Data Exchange,TUN,24,1_Medium__Data-Exchange__TUN.csv
Medium,Data Exchange,TZA,10,1_Medium__Data-Exchange__TZA.csv
Medium,Data Exchange,UGA,17,1_Medium__Data-Exchange__UGA.csv
Medium,Data Exchange,ZAF,2,1_Medium__Data-Exchange__ZAF.csv
Medium,Data Exchange,ZMB,13,1_Medium__Data-Exchange__ZMB.csv
Medium,Data Exchange,ZWE,16,1_Medium__Data-Exchange__ZWE.csv
Medium,Digital Id,AGO,4,1_Medium__Digital-Id__AGO.csv
Medium,Digital Id,BDI,4,1_Medium__Digital-Id__BDI.csv
Medium,Digital Id,BFA,2,1_Medium__Digital-Id__BFA.csv
Medium,Digital Id,BWA,5,1_Medium__Digital-Id__BWA.csv
Medium,Digital Id,CAF,6,1_Medium__Digital-Id__CAF.csv
Medium,Digital Id,CMR,2,1_Medium__Digital-Id__CMR.csv
Medium,Digital Id,COD,2,1_Medium__Digital-Id__COD.csv
Medium,Digital Id,COG,1,1_Medium__Digital-Id__COG.csv
Medium,Digital Id,COM,3,1_Medium__Digital-Id__COM.csv
Medium,Digital Id,DJI,2,1_Medium__Digital-Id__DJI.csv
Medium,Digital Id,DZA,2,1_Medium__Digital-Id__DZA.csv
Medium,Digital Id,EGY,19,1_Medium__Digital-Id__EGY.csv
Medium,Digital Id,ERI,1,1_Medium__Digital-Id__ERI.csv
Medium,Digital Id,ETH,4,1_Medium__Digital-Id__ETH.csv
Medium,Digital Id,GAB,2,1_Medium__Digital-Id__GAB.csv
Medium,Digital Id,GMB,2,1_Medium__Digital-Id__GMB.csv
Medium,Digital Id,GNQ,3,1_Medium__Digital-Id__GNQ.csv
Medium,Digital Id,LBY,2,1_Medium__Digital-Id__LBY.csv
Medium,Digital Id,LSO,4,1_Medium__Digital-Id__LSO.csv
Medium,Digital Id,MAR,1,1_Medium__Digital-Id__MAR.csv
Medium,Digital Id,MDG,15,1_Medium__Digital-Id__MDG.csv
Medium,Digital Id,MOZ,1,1_Medium__Digital-Id__MOZ.csv
Medium,Digital Id,MRT,1,1_Medium__Digital-Id__MRT.csv
Medium,Digital Id,NAM,1,1_Medium__Digital-Id__NAM.csv
Medium,Digital Id,NER,2,1_Medium__Digital-Id__NER.csv
Medium,Digital Id,SEN,3,1_Medium__Digital-Id__SEN.csv
Medium,Digital Id,SOM,1,1_Medium__Digital-Id__SOM.csv
Medium,Digital Id,STP,6,1_Medium__Digital-Id__STP.csv
Medium,Digital Id,SYC,1,1_Medium__Digital-Id__SYC.csv
Medium,Digital Id,TCD,5,1_Medium__Digital-Id__TCD.csv
Medium,Digital Id,TGO,2,1_Medium__Digital-Id__TGO.csv
Medium,Digital Id,TZA,1,1_Medium__Digital-Id__TZA.csv
Medium,Digital Id,UGA,1,1_Medium__Digital-Id__UGA.csv
Medium,Digital Id,ZAF,1,1_Medium__Digital-Id__ZAF.csv
Medium,Digital Id,ZWE,1,1_Medium__Digital-Id__ZWE.csv
Medium,Digital Pay,AGO,2,1_Medium__Digital-Pay__AGO.csv
Medium,Digital Pay,BDI,14,1_Medium__Digital-Pay__BDI.csv
Medium,Digital Pay,BEN,7,1_Medium__Digital-Pay__BEN.csv
Medium,Digital Pay,BFA,10,1_Medium__Digital-Pay__BFA.csv
Medium,Digital Pay,BWA,11,1_Medium__Digital-Pay__BWA.csv
Medium,Digital Pay,CAF,10,1_Medium__Digital-Pay__CAF.csv
Medium,Digital Pay,CIV,11,1_Medium__Digital-Pay__CIV.csv
Medium,Digital Pay,CMR,7,1_Medium__Digital-Pay__CMR.csv
Medium,Digital Pay,COD,10,1_Medium__Digital-Pay__COD.csv
Medium,Digital Pay,COG,7,1_Medium__Digital-Pay__COG.csv
Medium,Digital Pay,COM,6,1_Medium__Digital-Pay__COM.csv
Medium,Digital Pay,CPV,1,1_Medium__Digital-Pay__CPV.csv
Medium,Digital Pay,DJI,8,1_Medium__Digital-Pay__DJI.csv
