Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Economic & Financial,National accounts,odin-econ-nataccs,"Data evaluated across three main topics - Gross domestic product (production approach) , Gross domestic product (expenditure approach), Gross domestic product (income approach)",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 20,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,Labor,odin-econ-labor,"Data evaluated across three main topics - Employment,  Employment distribution, Unemployment",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 21,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,Price indexes,odin-econ-prices,"Data evaluated across two main topics - Consumer price index, Producers price index",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 22,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,Government finance,odin-econ-govfin,"Data evaluated across two main topics - Revenues, Expenditures",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 23,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,Money and banking,odin-econ-bank,"Data evaluated across two main topics - Money supply, Interest rates",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 24,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,International trade,odin-econ-trade,"Data evaluated across two main topics - Exports, Imports",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 25,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,Balance of payments,odin-econ-balpay,"Data evaluated across two main topics - Current account balance, Foreign direct investment",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 26,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Economic & Financial,Digital Connectivity,odin-econ-digital,"Data evaluated across two main topics - Internet use,  Mobile network access",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 27,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Environmental,Agriculture and land use,odin-environ-agric,"Data evaluated across three main topics - Land use, Protected lands, Commodity production",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 28,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Environmental,Resource use,odin-environ-resource,"Data evaluated across four main topics - Fishery harvests, Timber harvests, Extractive activities, Water consumption",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 29,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Environmental,Energy,odin-environ-energy,"Data evaluated across two main topics - Energy consumption,  Energy supply",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 30,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Environmental,Pollution,odin-environ-pollution,"Data evaluated across three main topics - Greenhouse gas emissions, Air pollution, Water pollution",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 31,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Environmental,Built environment,odin-environ-builtenv,"Data evaluated across five main topics - Access to improved water, Access to improved sanitation, Overcrowding, Access to electricity, Housing durability",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 32,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
