Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Civil,National Id integration,reg-cr-id,Is the register integrated with the national ID system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Integration means vital events trigger updates in the national ID system (e.g. birth registration generates a national ID number, death registration deactivates an ID). Assess technical linkage, not just policy.","Search: ""[Country] birth registration national ID"", ""[Country] CRVS identity system integration"". Check whether birth registration automatically generates a national ID number, and whether death registration deactivates IDs."
Civil,Population register integration,reg-cr-pop,Is the register integrated with the population register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means vital events in the civil register update the population register. This is the inverse of reg-pop-crvs — both should normally have the same or similar rating.,"Search: ""[Country] CRVS population register integration"", ""[Country] civil registration population register linked"". This is the inverse of reg-pop-crvs. Check interoperability documentation."
Civil,Data exchange integration,reg-cr-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the civil register is connected to such a platform for automated data sharing with other government systems.,"Search: ""[Country] CRVS interoperability"", ""[Country] civil registration data exchange platform"". Check e-government strategies, CRVS digitisation plans."
Land,Status,reg-land-exists,Does the government maintain a digital land register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A land register (title register or deeds register) records legal ownership, rights, and encumbrances over land and property. Distinguished from a cadastral register (spatial/physical description of land parcels). May be called Land Registry, Title Registry, or Deeds Office.","Search: ""[Country] land registration digital"", ""[Country] land registry system"", ""[Country] land title registration"". Key sources: World Bank Doing Business/B-READY indicators (registering property), FAO land governance assessments, country land policy documents, Cadasta Foundation resources."
Land,Separate cadastral register,reg-land-cadastral,Does the government maintain a separate cadastral register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A cadastral register is a spatial database of land parcel boundaries, areas, and physical descriptions, often linked to maps/GIS. Distinguished from the land/title register which records legal ownership. Some countries maintain a unified system; others have separate registers.","Search: ""[Country] cadastral system digital"", ""[Country] cadastral register GIS"", ""[Country] land parcel mapping"". Check land survey/mapping agencies, FAO/UN-Habitat land reports."
Land,Uptake,reg-land-uptake,What proportion of land ownership does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Proportion of land parcels/ownership rights formally registered in the digital system. In many African countries, customary/communal land may not be formally registered. Note whether the figure includes or excludes customary land in Comments.","Search: ""[Country] land registration coverage"", ""[Country] percentage land titled"", ""[Country] land formalization"". Key sources: World Bank, FAO VGGT assessments, country land reform programmes. Note whether customary land is included."
Land,Address register integration,reg-land-address,Is the register integrated with the address register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Integration means land parcels in the register are linked to the address register (e.g. a plot has a registered street address). Assess technical linkage, not just whether addresses appear in land records informally.","Search: ""[Country] land register address integration"", ""[Country] property address register linked"". Check land registration authority documentation."
Land,Business register integration,reg-land-business,Is the register integrated with the business register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means business premises recorded in the business register are linked to land parcels in the land register. Assess technical linkage between the two systems.,"Search: ""[Country] land register business register integration"". Check interoperability between land authority and companies registrar."
Land,Data exchange integration,reg-land-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the land register is connected for automated data sharing.,"Search: ""[Country] land register interoperability"", ""[Country] land registration data exchange"". Check e-government strategies."
Address,Status,reg-address-exists,Does the government maintain a digital address register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"An address register is a systematic database of standardised physical addresses (street names, numbers, postal codes) for buildings and plots. Distinguished from informal addressing or GPS-based systems. May include digital addressing systems (e.g. what3words, Plus Codes) adopted officially.","Search: ""[Country] address register"", ""[Country] digital addressing system"", ""[Country] national addressing system"", ""[Country] street naming numbering"". Check postal services, national mapping agencies, e-government portals. Note: some countries have adopted digital addressing (what3words, Plus Codes) as official systems."
Address,Business uptake,reg-address-business,What proportion of business properties does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,Proportion of business/commercial properties with a registered standardised address in the digital address register.,"Search: ""[Country] business address register coverage"", ""[Country] commercial property addressing"". If no address register exists (Status=1), set to 0."
Address,Household uptake,reg-address-house,What proportion of private properties does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Proportion of residential/private properties with a registered standardised address. In many African countries, rural and informal urban areas may lack formal addresses.","Search: ""[Country] residential address coverage"", ""[Country] household addressing"". Check national addressing programme statistics, postal service coverage data."
Address,Land register integration,reg-address-land,Is the register integrated with the land register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means addresses in the register are linked to land parcels in the land register. Assess technical linkage between the two systems.,"Search: ""[Country] address register land register integration"". Check interoperability between addressing authority and land registry."
Address,Data exchange integration,reg-address-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the address register is connected for automated data sharing.,"Search: ""[Country] address register interoperability"", ""[Country] addressing system data exchange"". Check e-government strategies."
Business,Status,reg-business-exists,Does the government maintain a digital business register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A business register records formally registered businesses/companies, typically managed by a Registrar of Companies, Companies House, or equivalent. Includes company name, registration number, directors, legal form, status. May cover sole proprietors, partnerships, and corporations.","Search: ""[Country] business registration digital"", ""[Country] company registration online"", ""[Country] registrar of companies"". Key sources: World Bank Doing Business/B-READY (starting a business), country investment climate assessments, Companies Registry websites."
Business,Uptake,reg-business-uptake,What proportion of businesses does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,Proportion of businesses (formal sector) registered in the digital system. Note that informal sector businesses are typically excluded. Use total formal businesses as the denominator if available; otherwise use total registered businesses as proxy.,"Search: ""[Country] business registration rate"", ""[Country] formal sector businesses registered"". Check companies registrar statistics, World Bank enterprise surveys. Note that informal businesses are typically excluded."
Business,Address register integration,reg-business-address,Is the register integrated with the address register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means businesses in the register are linked to standardised addresses in the address register. Assess technical linkage.,"Search: ""[Country] business register address integration"". Check whether business registration captures standardised addresses linked to the address register."
Business,Land register integration,reg-business-land,Is the register integrated with the land register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means businesses in the register are linked to land parcels (business premises) in the land register. Assess technical linkage.,"Search: ""[Country] business register land register integration"". Check interoperability between companies registrar and land authority."
Business,Data exchange integration,reg-business-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the business register is connected for automated data sharing.,"Search: ""[Country] business register interoperability"", ""[Country] company registration data exchange"". Check e-government strategies."
Electoral,Status,reg-elect-exists,Does the government maintain a digital electoral register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"An electoral register (voter roll) records citizens eligible to vote. Typically managed by an electoral commission or equivalent body. Assess whether the register is maintained digitally (database), not just whether paper voter lists exist.","Search: ""[Country] electoral register digital"", ""[Country] voter registration system"", ""[Country] electoral commission biometric voter"". Key sources: Electoral commission websites, IFES/International IDEA election profiles, ACE Electoral Knowledge Network, election observation mission reports."
Electoral,Uptake,reg-elect-uptake,What proportion of the electorate does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,Proportion of the eligible electorate (voting-age citizens) registered. Use the most recent election cycle data. Note whether the figure is from the election commission or independent estimates.,"Search: ""[Country] voter registration rate"", ""[Country] registered voters percentage"", ""[Country] electoral commission statistics"". Check most recent election data from electoral commission, IFES, International IDEA Voter Turnout Database."
Electoral,National Id integration,reg-elect-id,Is the register integrated with the national ID system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Integration means voter registration uses or is linked to the national ID system (e.g. national ID number as voter registration key, or biometric deduplication against the national ID database). Assess technical linkage.","Search: ""[Country] voter registration national ID"", ""[Country] electoral biometric national ID linked"". Check whether voter registration requires/uses national ID, and whether biometric deduplication is linked to the national ID database."
Electoral,Data exchange integration,reg-elect-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the electoral register is connected for automated data sharing. Note: electoral data is often kept separate for independence reasons.,"Search: ""[Country] electoral register interoperability"", ""[Country] voter data exchange"". Note that electoral data is often kept deliberately independent. Check e-government strategies."
Tax,Status,reg-tax-exists,Does the government maintain one or more tax registers?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A tax register records individual and/or business taxpayers, typically managed by a revenue authority. May include separate registers for income tax, VAT, customs, etc. Assess whether any tax register is maintained digitally.","Search: ""[Country] tax administration digital"", ""[Country] revenue authority system"", ""[Country] electronic tax registration"". Key sources: Revenue authority websites, IMF TADAT assessments, World Bank tax administration reports, ATAF (African Tax Administration Forum) reports."
Tax,Scope,reg-tax-scope,"Does the register manage income tax, business taxes or both?",0=Unknown or n.a.; 1=None; 2=Income taxpayers only; 3=Business taxpayers only; 4=Both income and business taxpayers,"Assess whether the digital tax register covers individual/income taxpayers, business/corporate taxpayers, or both. ""Both"" means a unified or linked system covering both categories.","Search: ""[Country] tax register individual business"", ""[Country] TIN system scope"". Check revenue authority website for which taxpayer types can register."
Tax,Income taxpayer uptake,reg-tax-incomeuptake,What proportion of individual taxpayers does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Proportion of individual/income taxpayers registered in the digital system. Denominator is the total eligible individual taxpayer base (not total population). In many African countries, the formal individual taxpayer base is small relative to population.","Search: ""[Country] individual taxpayer registration rate"", ""[Country] income tax registered proportion"", ""[Country] tax-to-GDP ratio"". Check revenue authority statistics, IMF Article IV reports, ATAF data."
Tax,Business taxpayer uptake,reg-tax-businessuptake,What proportion of businesses does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,Proportion of business taxpayers registered in the digital system. Denominator is total formal businesses liable for tax. Compare with business register coverage for consistency.,"Search: ""[Country] business tax registration rate"", ""[Country] VAT registered businesses proportion"". Check revenue authority statistics, compare with business register data."
Tax,National Id integration,reg-tax-id,Is the register integrated with the national ID system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Integration means taxpayer records are linked to the national ID system (e.g. TIN linked to national ID number). Assess technical linkage, not just whether the revenue authority requires national ID for registration.","Search: ""[Country] TIN national ID linked"", ""[Country] tax registration national identity"". Check whether TIN issuance requires/uses national ID number."
Tax,Business register integration,reg-tax-business,Is the register integrated with the business register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means taxpayer records for businesses are linked to the business register (e.g. business registration number used as key in tax records). Assess technical linkage.,"Search: ""[Country] tax register business register integration"", ""[Country] TIN company registration linked"". Check whether business registration automatically generates a TIN or vice versa."
Tax,Data exchange integration,reg-tax-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the tax register is connected for automated data sharing.,"Search: ""[Country] tax system interoperability"", ""[Country] revenue authority data exchange"". Check e-government strategies, tax modernisation plans."
Social Protection,Status,reg-social-exists,Does the government maintain one or more social protection registers?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A social protection register (social registry, beneficiary registry) records beneficiaries and/or potential beneficiaries of government social protection programmes (cash transfers, food assistance, pensions, etc.). May be a unified social registry or separate programme-specific registers.","Search: ""[Country] social registry"", ""[Country] social protection register"", ""[Country] beneficiary registry"", ""[Country] unified beneficiary register"". Key sources: World Bank Social Protection reports, ILO social protection country profiles, UNICEF social protection budgets, country social protection strategies."
Social Protection,Uptake,reg-social-uptake,What proportion of the intended beneficiaries does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Proportion of intended beneficiaries (target population for social protection) registered. Note whether the figure covers a single programme or a unified social registry. Denominator is the intended beneficiary population, not total population.","Search: ""[Country] social registry coverage"", ""[Country] social protection beneficiaries registered"". Check social protection programme statistics, World Bank SP reports, country social protection strategies."
Social Protection,National Id integration,reg-social-id,Is the register integrated with the national ID system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Integration means beneficiary records are linked to the national ID system (e.g. national ID used for beneficiary identification and deduplication). Assess technical linkage.,"Search: ""[Country] social protection national ID"", ""[Country] social registry identity verification"". Check whether beneficiary identification uses national ID, and whether deduplication is linked to the national ID database."
Social Protection,Data exchange integration,reg-social-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,Data exchange system refers to a government interoperability platform. Assess whether the social protection register is connected for automated data sharing.,"Search: ""[Country] social registry interoperability"", ""[Country] social protection data exchange"". Check e-government strategies, social protection digitisation plans."
