Section,Variable Name,Variable ID,Definition,Format,Data Collection Guidance
Expertise,Technical_Expertise,IND_012,Level of individual's technical knowledge in DPI,Categorical: Expert | Advanced | Intermediate | Basic | Non-technical | Unknown,"Check publications, presentations, qualifications, technical outputs. Expert = recognized technical authority, advanced degree/certification; Advanced = strong technical knowledge, can lead technical projects; Intermediate = moderate understanding; Basic = limited knowledge; Non-technical = policy/management/journalism focus without technical background."
Expertise,Educational_Background,IND_013,Highest relevant degree and field,Text,"Search LinkedIn, bios, conference profiles. Format: 'PhD in Computer Science, MIT' or 'MBA, University of Cape Town'. Focus on highest/most relevant degree. Use 'Unknown' if not found."
Influence,Decision_Authority,IND_015,Individual's decision-making power in DPI matters,Categorical: Full Authority | Significant Authority | Moderate Authority | Limited Authority | No Authority | Unknown,"Assess from job title, organizational structure, decision documents. Full = can make final decisions (CEO, Minister); Significant = substantial decision power (Director); Moderate = shared decision-making (Manager); Limited = advisory role; No Authority = implementation only. For independent experts/journalists: typically 'Limited Authority' or 'No Authority' unless serving in advisory capacity to decision-makers."
Influence,Budget_Authority,IND_016,Whether individual controls DPI-related budget,Categorical: Yes - Full | Yes - Partial | No | Unknown,"Check if individual has budget allocation/approval powers for DPI projects. Full = complete budget control; Partial = shared or limited budget authority; No = no budget control (typical for independent consultants, journalists, academics without grant management); Unknown = unclear."
Influence,Network_Position,IND_017,Position within DPI stakeholder networks,Categorical: Central Hub | Well-Connected | Moderately Connected | Peripheral | Isolated | Unknown,"Assess from forum participation, board memberships, speaking engagements, co-authorships, partnerships, media citations. Central Hub = key connector across sectors, frequently referenced; Well-Connected = strong networks across multiple stakeholder types; Moderately Connected = some connections, mainly within sector; Peripheral = limited networks; Isolated = few connections. Independent experts/journalists with high visibility can be 'Central Hub' or 'Well-Connected'."
Influence,Influence_Type,IND_018,Primary mechanism through which individual exerts influence,Categorical: (Multiple) Formal Authority | Technical Expertise | Thought Leadership | Media Influence | Network Position | Research/Evidence | Advocacy/Activism | Funding Control | Implementation Capacity | Other,Select ALL applicable influence mechanisms. Formal Authority = official position power; Technical Expertise = recognized expert status; Thought Leadership = shapes discourse through ideas; Media Influence = shapes public opinion through journalism/commentary; Network Position = connector/broker role; Research/Evidence = influences through credible research; Advocacy = campaigns and mobilization; Funding Control = resource allocation power; Implementation = makes things happen. Separate with semicolon (;).
Engagement,Public_Visibility,IND_019,Level of public visibility in DPI discussions,Categorical: Very High | High | Medium | Low | Very Low | Unknown,"Assess from media presence, speaking engagements, social media, publications. Very High = regular media presence, keynote speaker, high social media following; High = frequent public commentary; Medium = occasional visibility; Low = rare public presence; Very Low = behind-the-scenes only. Independent journalists/analysts often have 'High' or 'Very High' visibility."
Engagement,Publications_Output,IND_020,Recent publications on DPI topics,Text,"Document recent (last 3 years) publications, reports, papers, articles on DPI. Format: 'Title, YYYY'. Include: research papers, reports, policy briefs, op-eds, investigative journalism pieces, blog posts (if influential). Separate multiple with semicolon (;). Include links if available. Use 'None found' if no publications."
Engagement,Speaking_Engagements,IND_021,Recent conference/event speaking engagements,Text,"Document recent (last 2 years) speaking at conferences, panels, webinars on DPI. Format: 'Event Name, YYYY-MM' or 'Event Name, YYYY'. Separate multiple with semicolon (;). Check conference programs, LinkedIn, YouTube. Use 'None found' if not available."
Data Provenance,Data_Source,IND_025,Sources consulted for individual data,Text,Document ALL sources used. Format: 'Source description | URL | YYYY-MM-DD'. Separate multiple sources with semicolon (;). Example: 'LinkedIn profile | https://linkedin.com/in/name | 2026-03-09; Personal website | https://example.com | 2026-03-09; News byline | https://news.com/author/name | 2026-03-05'.
Data Provenance,Data_Collection_Date,IND_026,Date when data was collected,Date,Use ISO 8601 format (YYYY-MM-DD). Record date when data collection was completed for this individual.
Data Provenance,Data_Collector,IND_027,Person/team who collected the data,Text,Record researcher name or initials for quality control and follow-up. Use consistent format within dataset.
