Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Inclusivity,Number of Direct Participants,pay-inclusivity-participantcount,Total count of payment service providers directly connected to and actively participating in the digital payment system as of the most recent reporting date. Reflects market breadth and competitive landscape.,"Text (400 characters max); ""NA"" if unknown or not applicable","Specify if count includes banks only, banks+MNOs, or all PSP types. Note breakdown by type if available (e.g., ""23 banks, 4 MNOs, 6 fintechs""). Include inactive vs active distinction if disclosed. Note growth trend if historical data exists.","Search: ""[Country] payment system participants"", ""[Country] banks connected to payment system"", participant directories, payment system operator reports, central bank statistics, scheme membership lists, regulatory licensing databases. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Inclusivity,Transaction Fee for Person-to-Person Payments,pay-inclusivity-transactionfeep2p,"Fee structure charged to end users (sender or receiver) for person-to-person digital payments within the country. Includes flat fees, percentage fees, tiered structures, or free transactions. Critical affordability indicator.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify who pays (sender/receiver/both). Note fee caps if imposed by regulation. Distinguish between bank-to-bank, mobile-to-mobile, and bank-to-mobile fees if different. Include minimum and maximum fees for tiered structures. Date pricing as of latest available.","Search: ""[Country] P2P payment fees"", ""[Country] transfer charges"", ""[Country] mobile money transfer tariffs"", provider pricing pages, scheme rules on pricing, regulatory fee caps, consumer associations fee comparisons, central bank tariff surveys. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Inclusivity,Tiered KYC/CDD Requirements,pay-inclusivity-kyctiering,"Whether risk-based, tiered know-your-customer (KYC) and customer due diligence (CDD) requirements exist that allow simplified verification for lower-risk, lower-value accounts and transactions, enabling access for individuals without full documentation. Critical for including informal sector and rural populations.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Yes - Multi-Tier System; Simplified KYC Only; No - Uniform Requirements. Multi-Tier: Usually 3+ tiers with different requirements and transaction limits. Simplified: Single reduced requirement option. Describe tier structure if multi-tier (e.g., ""Tier 1: Name+phone; Tier 2: +ID; Tier 3: +proof of address""). Note transaction limits per tier.","Search: ""[Country] tiered KYC"", ""[Country] simplified customer due diligence"", ""[Country] risk-based KYC regulations"", AML/CFT regulations, central bank KYC directives, mobile money KYC rules, financial inclusion KYC policy, FATF guidance implementation. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Inclusivity,Agent Network Availability,pay-inclusivity-agentnetwork,"Availability, size, and geographic distribution of agent networks providing cash-in/cash-out services, account opening assistance, and transaction support for digital payments. Particularly important for rural areas and populations lacking digital literacy or connectivity.","Text (400 characters max); ""NA"" if unknown or not applicable","Include agent count, agents per 100,000 adults, rural vs urban distribution, agent types (bank agents, mobile money agents, retail agents). Note regulatory framework for agents. Comment on agent liquidity challenges if documented. Mention super-agent models if applicable.","Search: ""[Country] agent banking"", ""[Country] mobile money agents"", ""[Country] agent network size"", provider annual reports, central bank agent statistics, GSMA mobile money reports, agent network operator disclosures, financial access surveys with agent data. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Inclusivity,Accessibility Features for Vulnerable Groups,pay-inclusivity-accessibilityfeatures,"Special design features, accommodations, and services that enhance accessibility of digital payment systems for persons with disabilities, illiterate users, elderly populations, or other marginalized groups, including voice-based interfaces, screen readers, simplified UIs, assisted transactions.","Text (400 characters max); ""NA"" if unknown or not applicable","Note if features are mandatory (regulatory requirement) or voluntary. Specify which providers offer features. Comment on effectiveness/uptake if studied. Mention training programs for vulnerable groups. Reference accessibility standards compliance (WCAG, etc.).","Search: ""[Country] payment accessibility disability"", ""[Country] illiterate-friendly payment"", ""[Country] inclusive payment design"", provider accessibility statements, disability rights legislation applied to payments, financial inclusion reports on vulnerable groups, assistive technology integrations. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Functionality,Offline Payment Capability,pay-functionality-offlinepayments,"Whether payments can be initiated, authorized, and completed (at least temporarily) without internet connectivity, using USSD, SMS, SIM-based applications, or other offline technologies. Critical for rural and low-connectivity areas.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Yes - Full Offline; Partial - USSD/SMS Only; No - Internet Required. Full Offline: Transactions complete without internet (may sync later). Partial: USSD/SMS work but require basic GSM. Specify offline technologies supported (USSD, SMS, SIM toolkit, NFC offline, Bluetooth). Note transaction limits for offline if different.","Search: ""[Country] USSD payments"", ""[Country] offline digital payments"", ""[Country] SMS payments"", payment channels documentation, USSD payment codes, offline payment technologies, feature phone payment capabilities."
Uptake,Annual Transaction Volume,pay-uptake-transactionvolume,"Total number of payment transactions (count) processed through the digital payment system annually, reflecting system usage intensity. Includes all transaction types (P2P, P2B, G2P, etc.).","Text (400 characters max); ""NA"" if unknown or not applicable","Specify year of data. Note if volume includes all system types or specific subset. Provide growth rate vs previous year if available. Distinguish successful vs attempted transactions if disclosed. Source data (system operator, central bank, regulator).","Search: ""[Country] payment transaction volume"", ""[Country] payment system statistics"", payment system operator annual reports, central bank payment statistics, financial stability reports, BIS/World Bank SIIPS (Significantly Important Instant Payment Systems) Report data, regulatory filings. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Uptake,Annual Transaction Value,pay-uptake-transactionvalue,"Total monetary value of all transactions processed through the digital payment system annually, reflecting economic activity channeled through digital payments. Includes all transaction types.","Text (400 characters max); ""NA"" if unknown or not applicable",Specify year and currency. Convert to USD if helpful (note exchange rate and date). Provide growth rate vs previous year if available. Note if GDP percentage disclosed. Compare to cash transaction estimates if available. Source data.,"Search: ""[Country] payment transaction value"", ""[Country] digital payment GDP"", payment system operator annual reports, central bank payment statistics, financial sector assessments, BIS/World Bank SIIPS (Significantly Important Instant Payment Systems) Report, transaction value trends. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Uptake,Banking Sector Adoption,pay-uptake-bankadoption,"Extent of banking sector participation in and utilization of the digital payment system, measured by percentage of banks connected and volume/value of bank-initiated or bank-intermediated transactions.","Text (400 characters max); ""NA"" if unknown or not applicable",Specify banks connected as percentage of total licensed banks. Note if large banks vs small banks have different adoption rates. Distinguish transactions originating from bank accounts vs bank mobile apps. Compare bank vs non-bank (mobile money) usage if available.,"Search: ""[Country] bank payment system participation"", ""[Country] banks connected digital payment"", banking association reports, payment system participant lists, central bank bank supervision reports, transaction statistics by originator type. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Uptake,Mobile Money Transaction Share,pay-uptake-mobilemoneyshare,"Share of digital payment system transactions originating from or intermediated by mobile money accounts compared to traditional bank accounts, indicating relative importance of mobile money vs banking channels.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify if share by transaction volume (count) or value (amount), as these often differ significantly. Note country context (mobile money-led vs bank-led market). Source data. Comment on trends if historical data available.","Search: ""[Country] mobile money vs bank transactions"", ""[Country] mobile money market share"", GSMA State of the Industry reports, central bank payment statistics by channel, financial inclusion surveys, payment system statistics by participant type. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Credibility,Security Standards and Certifications,pay-credibility-securitystandards,"Security protocols, international standards, and third-party certifications implemented to protect the payment system infrastructure and user data from cybersecurity threats, including encryption, authentication, monitoring, and incident response capabilities.","Text (400 characters max); ""NA"" if unknown or not applicable","Note if certifications are for system operator, participants, or both. Specify encryption standards (TLS, AES-256). Mention authentication methods (PIN, biometric, OTP, 2FA). Include audit frequency if disclosed. Cite cybersecurity regulations applied.","Search: ""[Country] payment system security"", ""[Country] payment cybersecurity standards"", payment system security documentation, PCI-DSS compliance disclosures, central bank cybersecurity directives, ISO 27001 certifications, security audit reports, incident response frameworks."
Credibility,Fraud and Scam Incidents,pay-credibility-fraudrate,"Documented rate of fraud, unauthorized transactions, scams, or security incidents affecting the payment system, typically expressed as fraud value as percentage of total transaction value or fraud incidents per million transactions.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify fraud types included (unauthorized access, account takeover, merchant fraud, social engineering scams). Note if rate is for successful fraud only or attempts. Distinguish system vulnerabilities vs user-targeted scams. Source (regulator, operator, police). Comment on trend.","Search: ""[Country] payment fraud rate"", ""[Country] mobile money fraud"", ""[Country] digital payment scams"", central bank consumer complaints, payment system operator security reports, police cybercrime statistics, consumer protection authority reports, media reports on payment fraud."
Credibility,Dispute Resolution Mechanism,pay-credibility-disputeresolution,"Formal processes and institutional arrangements available for users to report and resolve payment errors, unauthorized transactions, fraud, or service quality issues, including complaint channels, resolution timeframes, and appeal mechanisms.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Formal Mechanism Exists; Informal/Provider-Level Only; No Clear Mechanism. If formal mechanism exists, describe: complaint channels (hotline, online, in-person), resolution timeline (e.g., ""within 10 business days""), escalation path, regulatory oversight, compensation/refund policies. Note if financial ombudsman covers payments.","Search: ""[Country] payment dispute resolution"", ""[Country] payment complaint mechanism"", ""[Country] financial ombudsman"", scheme rules on disputes, consumer protection regulations, payment service provider complaint procedures, central bank complaint handling frameworks, ombudsman services."
Credibility,Consumer Awareness and Education Programs,pay-credibility-customerawareness,"Whether systematic, organized programs exist to educate users about payment system features, security best practices, fraud prevention, user rights, and safe usage, delivered by regulators, operators, providers, or civil society.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Yes - Comprehensive Programs; Limited - Ad Hoc Initiatives; No. Comprehensive: Regular, multi-channel education with measurable reach. Limited: Occasional campaigns. If Yes, describe programs: financial literacy training, security awareness campaigns, user guides, helplines, school programs. Note reach (e.g., ""trained 1M users in 2023"").","Search: ""[Country] financial literacy digital payments"", ""[Country] payment security awareness"", ""[Country] mobile money education"", central bank financial literacy programs, payment operator user education, consumer protection campaigns, NGO financial education programs, media public service announcements."
Credibility,Regulatory Oversight and Supervision,pay-credibility-regulatoryoversight,"Extent, nature, and effectiveness of regulatory oversight of payment system operations, risk management, financial soundness, consumer protection, and participant conduct by central bank, financial regulator, or other authorities.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Comprehensive Oversight; Basic Oversight; Limited Oversight. Comprehensive: Regular inspections, prudential standards, conduct monitoring, enforcement actions. Basic: Licensing and reporting only. Describe oversight activities: on-site inspections, off-site surveillance, stress testing, risk assessments. Note enforcement actions taken if disclosed.","Search: ""[Country] payment system supervision"", ""[Country] central bank payment oversight"", payment system regulations, central bank supervision reports, payment system designations (systemically important), regulatory frameworks, enforcement actions, supervisory approach statements."
Credibility,Development Partner and Technical Assistance Support,pay-credibility-techsupport,"Development partners, donors, technical assistance providers, or international organizations that have provided or are providing financial grants, technical expertise, capacity building, or infrastructure support for payment system development and operations.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify support type: funding/grants, technical design, capacity building, software/infrastructure, policy advisory, governance support. Note if support is historical (system launch) or ongoing. Mention specific projects/programs if known (e.g., ""AFIN project"", ""Payment Systems Development"").","Search: ""[Country] payment system development partners"", ""[Country] digital payment technical assistance"", ""[Country] World Bank payment project"", project databases (World Bank, AfDB, donors), payment system operator acknowledgments, central bank collaboration statements, donor reports, technical assistance facility disclosures."
Public Value,Economic Impact and GDP Contribution,pay-publicvalue-econimpact,"Estimated economic value or GDP contribution from digital payment system including direct transaction value, productivity gains, cost savings, formalization effects, and multiplier impacts on economic activity. May be from economic studies, modeling, or official statistics.","Text (400 characters max); ""NA"" if unknown or not applicable","Note methodology (econometric study, input-output model, payment value as proxy). Distinguish direct contribution (transaction value) vs induced effects (productivity, formalization). Cite source study. Comment on counterfactual assumptions (vs cash economy).","Search: ""[Country] digital payment economic impact"", ""[Country] mobile money GDP contribution"", economic impact studies, World Bank/IMF economic assessments, academic research on payment impact, payment industry reports, central bank financial stability assessments, fintech economic contribution studies."
Public Value,Financial Inclusion Impact,pay-publicvalue-financialinclusion,"Evidence that the digital payment system has expanded financial inclusion, particularly bringing previously unbanked or underbanked populations into the formal financial system, with supporting data on account ownership growth, demographic reach, or inclusion metrics.","Text (400 characters max); ""NA"" if unknown or not applicable","Include account ownership growth, unbanked reduction, rural inclusion, gender gap closure, youth inclusion. Distinguish correlation vs causation. Note if payment access is gateway to other services (credit, savings, insurance). Cite Global Findex, FinScope, or national surveys.","Search: ""[Country] financial inclusion growth"", ""[Country] unbanked reduction digital payments"", ""[Country] mobile money inclusion impact"", Global Findex time series, FinScope surveys, financial inclusion strategies with baseline/targets, impact evaluation studies, central bank inclusion reports."
Public Value,Benefits for Micro and Small Businesses,pay-publicvalue-smebenefits,"Documented benefits for micro, small, and medium enterprises from accepting and using digital payments, including increased sales, reduced cash handling costs, improved recordkeeping, access to credit based on transaction data, or business formalization.","Text (400 characters max); ""NA"" if unknown or not applicable","Note types of benefits documented: sales growth %, cost reduction %, credit access, digital recordkeeping, tax compliance, supplier payments. Distinguish quantified impacts vs qualitative perceptions. Cite MSME surveys, case studies, payment provider impact reports.","Search: ""[Country] MSME digital payments benefits"", ""[Country] small business mobile money impact"", MSME surveys, IFC/World Bank enterprise surveys, payment provider MSME programs, fintech MSME lending linked to payments, MSME association reports, academic studies on MSME digitization."
Public Value,Government Service Delivery Efficiency,pay-publicvalue-govtefficiency,"Documented improvements in government efficiency from digital payments including faster disbursement speeds, reduced leakage and fraud in social programs, lower administrative costs, improved targeting accuracy, and better reconciliation.","Text (400 characters max); ""NA"" if unknown or not applicable","Note efficiency gains: disbursement speed, leakage reduction %, administrative cost savings, duplicate beneficiary elimination, real-time visibility. Distinguish G2P vs P2G efficiency. Cite government assessments, donor evaluations, audit reports.","Search: ""[Country] G2P digitization efficiency"", ""[Country] social transfer leakage reduction digital"", ""[Country] digital payment government savings"", treasury reports, social protection program evaluations, World Bank G2P assessments, IMF PFM reforms, government digital transformation impact reports, audit reports on program efficiency."
Public Value,Anti-Corruption and Transparency Benefits,pay-publicvalue-reducedcorruption,"Evidence that digital payment trails, transaction transparency, and reduced cash handling have reduced corruption, petty bribery, or fraud, or improved government accountability through better audit trails and real-time monitoring.","Text (400 characters max); ""NA"" if unknown or not applicable","Note corruption reduction evidence: petty bribery in service delivery, ghost workers eliminated, procurement transparency, payment trail for audits. Distinguish measured reduction vs perception surveys. Cite anti-corruption agency reports, governance indices, audit findings, transparency assessments.","Search: ""[Country] digital payments reduce corruption"", ""[Country] transparency digital government payments"", ""[Country] ghost workers eliminated digital payments"", anti-corruption commission reports, audit general reports, governance perception surveys (TI Corruption Perceptions, Afrobarometer), PFM assessments, digital governance impact studies."
Public Value,Governance Transparency Index,pay-publicvalue-transparencyindex,"Composite assessment of transparency in payment system governance including availability of public documentation (scheme rules, performance data, governance structure), stakeholder consultation processes, public reporting frequency, and information accessibility.","Text (400 characters max); ""NA"" if unknown or not applicable","High: Public scheme rules, regular performance reporting, governance documentation, stakeholder consultation. Moderate: Some public info but gaps. Low: Limited public disclosure. Summarise the publicly available governance documentation (scheme rules, performance reports, consultation records) and assess transparency as High/Moderate/Low with brief justification based on evidence from other governance variables.","This is primarily a synthetic variable derived from other governance variables (scheme rules availability, performance reporting, stakeholder engagement). Assess based on: publicly available documentation, reporting frequency/detail, consultation mechanisms, governance clarity. Cross-check payment system operator transparency practices."
Public Value,Multi-Stakeholder Participation,pay-publicvalue-stakeholderengage,"Whether payment system governance involves diverse stakeholders beyond banks and government, including civil society organizations, consumer representatives, MSME associations, fintech sector, mobile operators, and affected communities in policy-making, rule-setting, or oversight.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Yes - Broad Multi-Stakeholder; Limited - Industry Only; No - Closed Governance. Broad: Includes CSOs, consumer groups, diverse PSPs. Limited: Banks/MNOs only. Describe participation mechanisms: advisory boards, public consultations, co-governance structures. Note frequency and influence of stakeholder input. Cite specific committees or forums.","Search: ""[Country] payment system stakeholder consultation"", ""[Country] payment governance committees"", governance documents, stakeholder advisory board membership, public consultation notices, civil society participation in policy, consumer group representation, scheme governance structures, regulatory consultation processes."
Social Equity,Rural-Urban Access and Usage Gap,pay-socialequity-ruralurbangap,"Difference in digital payment access (account ownership, agent availability) and usage (active users, transaction frequency) between rural and urban populations, reflecting infrastructure and service availability disparities.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify if gap in account ownership, active usage, agent access, network coverage. Note absolute gap and trend. Distinguish access (can obtain account) vs usage (actively transacting). Comment on rural-specific barriers (connectivity, literacy, agent liquidity). Source surveys.","Search: ""[Country] rural urban financial inclusion gap"", ""[Country] rural digital payments"", ""[Country] mobile money rural"", Global Findex urban/rural breakdowns, FinScope spatial analysis, household surveys with rural/urban, mobile network coverage maps, agent network rural distribution, financial access strand surveys."
Social Equity,Wealth/Income Inequality in Access,pay-socialequity-wealthgap,"Difference in digital payment access and usage across income quintiles or poverty status (poorest vs richest, poor vs non-poor), indicating whether payment systems are reaching low-income populations or exacerbating financial exclusion.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify if by income quintile, wealth quintile, or poverty status. Note gap magnitude and if narrowing/widening. Comment on affordability barriers for poor (fees, device costs, minimum balance). Distinguish account ownership vs active usage by wealth. Source household surveys with income/wealth data.","Search: ""[Country] financial inclusion by income"", ""[Country] poor unbanked digital"", Global Findex wealth/income quintile data, FinScope income analysis, household income surveys with financial access modules, poverty assessments with digital payment usage, pro-poor payment studies."
Social Equity,Women Economic Empowerment,pay-socialequity-womenempowerment,"Evidence that digital payments have enhanced women's economic agency, control over finances, economic participation, and bargaining power within households and communities, including qualitative and quantitative evidence.","Text (400 characters max); ""NA"" if unknown or not applicable","Note evidence types: women controlling own accounts/income, increased business participation, intrahousehold bargaining power, economic decision-making autonomy. Distinguish measured impacts vs perception studies. Cite women empowerment studies, gender impact assessments, mobile money gender research.","Search: ""[Country] women economic empowerment digital payments"", ""[Country] mobile money women empowerment"", ""[Country] gender impact digital finance"", gender impact assessments, women economic empowerment studies, GSMA mobile money gender research, household decision-making studies, qualitative research on women financial autonomy, DFS gender impact evaluations."
Social Equity,Equity and Inclusion Impact Assessment,pay-socialequity-equityassessment,"Whether formal assessments of equity impacts, exclusion risks, and distributional effects of the payment system have been conducted by government, regulator, operators, academics, or civil society, and whether findings informed policy or design changes.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Yes - Comprehensive Assessment; Partial - Limited Assessment; No Assessment. Comprehensive: Multi-dimensional equity analysis with policy follow-up. Partial: Single study or ad hoc analysis. If Yes, cite assessment, date, conducting organization, key findings. Note if assessment led to policy/design changes (e.g., fee caps, tiered KYC, rural targets).","Search: ""[Country] payment system equity assessment"", ""[Country] digital financial inclusion impact evaluation"", ""[Country] payment system inclusion analysis"", government impact assessments, regulatory reviews, academic impact studies, World Bank/donor evaluations, civil society equity reports, financial sector assessments with inclusion analysis."
