Section,Variable Name,Variable ID,Definition,Format,Data Collection Guidance
Contact & Digital Presence,Contact_Email,INST_011,General institutional contact email,Text (Email),"Find on website contact page. Use general/info email, not personal addresses. Use 'None' if not publicly available."
Contact & Digital Presence,Physical_Location,INST_012,City and country of headquarters,Text,"Find on website or company registry. Format: 'Nairobi, Kenya' or 'Cape Town, South Africa'. Use headquarters if multiple offices."
Influence Assessment,Power_Level,INST_013,Overall ability to influence DPI outcomes,Categorical : Very High | High | Medium | Low | Very Low,"Consider authority, resources, network, expertise, track record. Very High = can veto/independently decide (minister, regulator); High = strong influence (director, influential advocate); Medium = moderate influence (program manager); Low = limited influence; Very Low = minimal influence."
Influence Assessment,Legitimacy,INST_014,Recognized right to be involved in DPI decisions,Categorical : Very High | High | Medium | Low | Very Low,Assess formal mandate and recognized role. Very High = clear legal/constitutional mandate; High = strong regulatory/policy mandate; Medium = recognized stakeholder; Low = informal role; Very Low = limited/disputed legitimacy.
Influence Assessment,Decision_Authority,INST_015,Level of decision-making power in DPI domain,Categorical : Full Authority | Significant Authority | Moderate Authority | Limited Authority | No Authority,"Check governance documents, decision processes. Full = final decision-maker; Significant = most decisions within domain; Moderate = shared decision-making; Limited = advisory role; No Authority = observer/external."
Influence Assessment,Resource_Control,INST_016,Control over financial/technical resources for DPI,Categorical : Full Control | Significant Control | Moderate Control | Limited Control | No Control,"Check budget documents, funding announcements. Full = controls budget/resources; Significant = substantial allocation power; Moderate = some resource influence; Limited = minimal access; No Control = dependent on others."
Influence Assessment,Network_Strength,INST_017,Connectivity to other key DPI stakeholders,Categorical : Very Strong | Strong | Moderate | Weak | Very Weak,"Check forum participation, partnerships, board memberships, MOUs. Very Strong = central hub; Strong = well-connected to key actors; Moderate = connected to some actors; Weak = limited connections; Very Weak = isolated."
Influence Assessment,Technical_Expertise,INST_018,Level of technical knowledge in DPI domains,Categorical : Expert | Advanced | Intermediate | Basic | Non-technical,"Check publications, presentations, qualifications of staff, technical outputs. Expert = recognized technical authority; Advanced = strong technical knowledge; Intermediate = moderate understanding; Basic = limited knowledge; Non-technical = no technical expertise."
Engagement,Interest_Level,INST_019,Degree of interest/priority given to DPI work,Categorical : Very High | High | Medium | Low | Very Low,"Check speeches, publications, project allocations, public statements. Very High = priority focus; High = significant interest; Medium = moderate interest; Low = peripheral interest; Very Low = minimal/no interest."
Engagement,Current_Engagement,INST_020,Current level of active participation in DPI,Categorical : Leading | Active | Involved | Monitoring | Inactive | Unknown,"Check recent activities, meeting minutes, project documents. Leading = actively driving initiatives; Active = regularly participating; Involved = occasionally participating; Monitoring = observing only; Inactive = no recent participation; Unknown = unclear."
Engagement,DPI_Advocacy,INST_021,Public advocacy stance on DPI development,Categorical : Strong Advocate | Moderate Advocate | Neutral | Moderate Critic | Strong Critic | Unknown,"Review public statements, policy positions, campaigns. Strong Advocate = actively promotes DPI; Moderate Advocate = generally supportive; Neutral = no clear position; Moderate Critic = raises concerns; Strong Critic = opposes DPI; Unknown = unclear."
Engagement,Collaboration_Type,INST_022,Types of collaborative relationships with other stakeholders,Categorical : Public-Private Partnership | Co-governance | Service Delivery Partnership | Funding Relationship | Research Collaboration | Technical Advisory | Regulator-Regulatee | Multi-stakeholder Forum | Informal Network | None,"Identify formal/informal collaboration mechanisms. Select ALL applicable. Separate with semicolon (;). Check partnership agreements, MOUs, forum participation, joint projects."
Engagement,Engagement_Barriers,INST_023,Identified barriers to effective engagement,Text,"Document challenges from reports, interviews, news articles. Examples: funding constraints, technical capacity gaps, political interference, coordination failures, data access issues, regulatory uncertainty. Use 'None identified' if no barriers found."
Positioning,Policy_Position,INST_024,Overall policy stance on DPI development approach,Categorical : Strongly Supportive | Supportive | Neutral/Balanced | Supportive (privacy concerns | Supportive (equity concerns | Supportive (governance concerns | Critical | Strongly Critical | Unknown,"Synthesize from policy documents, public statements, advocacy positions. Note specific concerns in parentheses (privacy, equity, governance) if generally supportive but with reservations."
Activity Tracking,Recent_Activity,INST_025,"Recent DPI-related activities, projects, statements (last 12-24 months)",Text,"Document recent activities with brief description and date/timeframe. Format: 'Activity description - Month Year; Another activity - Month Year'. Check press releases, annual reports, news coverage, project announcements."
Funding,Funding_Source,INST_026,Primary sources of institutional funding,Categorical : Government Budget | Private Sector | Donor/Development Partner | Membership Fees | Revenue Generation | Mixed Sources | Unknown,"Check annual reports, financial statements, about pages. Select ALL significant sources (>10% of budget). Separate with semicolon (;). Mixed Sources = diverse funding without clear dominance."
Participation,Multi_Stakeholder_Forums,INST_027,Participation in multi-stakeholder DPI forums/processes,Categorical : Active Participant | Occasional Participant | Involved | Not Participating | Unknown,"Check participation in national DPI forums, working groups, consultations, regional forums. Active = regular participation with substantive input; Occasional = attends but limited input; Involved = observes or minimal participation; Not Participating = absent from multi-stakeholder processes."
Data Provenance,Data_Source,INST_028,Sources consulted for institutional data,Text,Document ALL sources used. Format: 'Source description | URL | YYYY-MM-DD'. Separate multiple sources with semicolon (;). Example: 'Institution website | https://example.org | 2026-03-09; Annual report | https://example.org/report.pdf | 2025-12-31'.
Data Provenance,Data_Collection_Date,INST_029,Date when data was collected,Date,Use ISO 8601 format (YYYY-MM-DD). Record date when data collection was completed for this institution.
Data Provenance,Data_Collector,INST_030,Person/team who collected the data,Text,Record researcher name or initials for quality control and follow-up. Use consistent format within dataset.
