Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Finance,Investments,id-finance-investments,"The sources and values of investments made in the development, deployment, and ongoing operation of the digital identity system.","Text (400 characters max); ""NA"" if unknown or not applicable","Record: (1) total investment value (local currency and USD where available); (2) funding sources (government budget, World Bank/IDA, bilateral donors, PPP, vendor financing) with amounts per source; (3) time period covered; (4) breakdown if available (capital vs operating, development vs rollout); (5) any known cost-per-registration or cost-per-credential figures.","Sources: World Bank project documents (PADs, ICRs), government budget documents, donor project databases (IATI), procurement notices, news reports on contract awards. Note currency and exchange rate date. Flag where investment figures combine ID with broader e-government spending."
Inclusivity,Mobile and Fixed Registration ,id-inclusivity-regsites,Number and deployment of mobile registration units for reaching remote or underserved populations. And number and types of permanent registration sites.,"Text (400 characters max); ""NA"" if unknown or not applicable","Cover both dimensions: MOBILE units — number, deployment frequency, geographic targeting (rural, nomadic, refugee camps, border areas); FIXED sites — total number, types (dedicated centres, multi-service government offices, partner locations such as banks or telcos), geographic distribution. Note any data on population-to-registration-site ratios.","Sources: ID authority reports, field operations documentation. Note geographic coverage, frequency of deployment, and populations targeted (rural, nomadic, refugee camps)."
Inclusivity,Inclusive Design Features,id-inclusivity-inclusivefeatures,"Special features designed for accessibility by persons with disabilities, illiterate persons, the elderly, or other marginalized groups","Text (400 characters max); ""NA"" if unknown or not applicable","Categories to cover: Multilingual support (list languages), Braille materials, Audio/voice assistance, Simplified enrollment process, Assisted enrollment (helpers permitted), Wheelchair/physical accessibility, Age-specific accommodations (elderly, children), Gender-sensitive procedures (e.g. female enrollment officers). Note whether features are policy-mandated or ad hoc. Record ""None documented"" if no evidence found.","Sources: ID authority accessibility policies, registration procedures. Check for language support, disability accommodations, literacy alternatives (thumbprint, witness signatures)."
Inclusivity,Alternative Documentation,id-inclusivity-altdocs,Whether alternatives are available for applicants who cannot provide standard required documents like birth certificates,"Text (400 characters max); ""NA"" if unknown or not applicable","Start with Yes/No, then describe: types of alternative evidence accepted (witness testimony, community leader declaration, affidavit, baptismal certificate, school records); any late birth registration pathway; refugee/stateless person provisions; fee waivers for vulnerable groups. Note whether alternatives are codified in law or applied informally.","Sources: Registration requirements, late registration policies. Document witness statements, affidavits, local authority declarations, or other acceptable alternatives."
Functionality,Biometric Storage on Credential,id-functionality-credbiometricstore,"Whether biometric data is stored electronically on the credential via chip or barcode, and which modalities","Text (400 characters max); ""NA"" if unknown or not applicable","For each modality state whether it is: (a) collected at enrollment; (b) stored in central database; (c) stored on credential (chip or 2D barcode). Modalities: Fingerprint, Face/photograph, Iris. Note chip specifications if available (contact/contactless, storage capacity). Distinguish between biometric template and raw biometric data storage.","Sources: Technical specifications, credential design documentation. Distinguish between biometrics collected vs stored on credential. Check chip specifications and barcode content."
Functionality,Credential Verification Methods,id-functionality-credverification,"Methods available for verifying the authenticity and validity of credentials including online verification, biometric matching, or visual security features","Text (400 characters max); ""NA"" if unknown or not applicable","Methods to cover: Online verification API/portal, Biometric match-on-card, QR code scanning, Barcode scanning, NFC/contactless reading, Visual security features (hologram, UV), USSD-based verification. Distinguish between: (a) government-to-government verification; (b) government-to-private-sector verification; (c) individual self-verification. Note whether verification services are free or fee-based.","Sources: Verification systems documentation, service provider integration guides. Check for online verification portals, API availability, and offline verification capabilities."
Functionality,Credential Expiration Policy,id-functionality-credexpire,"Whether credentials expire, validity period, and any adjustments for children or seniors","Text (400 characters max); ""NA"" if unknown or not applicable","Record: (1) whether credential expires (Yes/No/Lifetime); (2) standard validity period in years; (3) renewal process (automatic, requires re-enrollment, fee); (4) age-based variations (child credential validity, senior lifetime credential); (5) consequences of expired credential (services denied, grace period, automatic extension). Note any difference between physical and digital credential validity.","Sources: ID legislation, issuance policies, ID4D dataset. Note validity periods, age-based variations, and lifetime credential policies."
Uptake,Public Sector Adoption,id-uptake-adoptpublic,Details of public entities beyond the ID authority that use the ID infrastructure for service delivery,"Text (400 characters max); ""NA"" if unknown or not applicable","List specific government entities/services that use the ID system for authentication or data sharing. Group by sector: health, education, social protection, taxation, justice/police, immigration, electoral, civil service. Note approximate number of integrated agencies. Describe depth of integration (authentication only, data sharing, full transactional).","Sources: DPI Map, government interoperability reports, e-government strategies. Count distinct agencies, departments, or services using digital ID for authentication or data sharing."
Uptake,Private Sector Adoption,id-uptake-adoptprivate,"Whether and how private entities use the ID infrastructure, particularly financial institutions, telecom operators, and service providers","Text (400 characters max); ""NA"" if unknown or not applicable","Start with Yes/No for private sector integration, then describe: which sectors (banking/KYC, telecom/SIM registration, insurance, fintech/mobile money, agriculture, health); legal mandate or voluntary adoption; any API/SDK available for private sector; fee structure for private verification. Name specific companies if documented.","Sources: Partnership agreements, financial sector integration, SIM registration systems. Document private sector integration for customer onboarding, KYC, service delivery."
Credibility,Technical Standards Compliance,id-credibility-techstandards,"Whether the ID system complies with recognized international technical standards (ISO, ICAO, eIDAS, W3C, etc.)","Text (400 characters max); ""NA"" if unknown or not applicable","Standards to check: ISO/IEC 18013 (mobile driving licence), ISO/IEC 19794 (biometrics), ISO/IEC 24745 (biometric template protection), ICAO 9303 (machine-readable travel documents), eIDAS, W3C Verifiable Credentials, MOSIP compliance, ITU standards. Note whether compliance is self-declared, independently certified, or formally audited.","Sources: Technical documentation, procurement specifications, certification documents. Check compliance with: ISO/IEC 18013 (mDL), ISO/IEC 19794 (biometrics), ICAO 9303 (travel documents)."
Credibility,Certification Authority,id-credibility-certauthority,Whether trusted authority exists to issue digital certificates and manage PKI infrastructure for the ID system,"Text (400 characters max); ""NA"" if unknown or not applicable","Start with Yes/No, then describe: authority name, whether national or international CA, role in the ID system (credential signing, document authentication, PKI root), legal basis. Note whether the country has a national PKI framework and how the ID system relates to it.","Sources: PKI documentation, digital signature frameworks. Check for national certificate authority supporting digital ID cryptographic functions."
Credibility,Technical Support Organizations,id-credibility-techsupport,"Organizations providing technical expertise, implementation support, or technology platforms for the ID system","Text (400 characters max); ""NA"" if unknown or not applicable","List organisations with their specific roles: technology vendor (platform provider), systems integrator, biometrics provider, card manufacturer, technical advisor (e.g. World Bank, UNDP), standards body. Common organisations in Africa: MOSIP, Thales/Gemalto, IDEMIA, TECH5, Veridos, Mühlbauer, IN Groupe, Giesecke+Devrient. Note contract type (ongoing support, implementation only, capacity building).","Sources: Implementation contracts, vendor partnerships, technical assistance agreements. Document technology vendors, implementation partners, and technical advisors (e.g., MOSIP, Thales, Idemia)."
Credibility,Fraud Incidents,id-credibility-fraudincidents,"Documented cases of ID fraud, system breaches, or security incidents if publicly reported","Text (400 characters max); ""NA"" if unknown or not applicable","Record: (1) number of publicly documented incidents; (2) time period; (3) type of incident (data breach, identity fraud, system manipulation, insider abuse, credential forgery); (4) scale/impact; (5) institutional response; (6) any resulting policy changes. Note that absence of reported incidents may reflect limited transparency rather than absence of fraud.","Sources: News reports, audit reports, parliamentary inquiries, data protection authority reports. Often sensitive information. Document major publicized incidents and responses."
Public Value,Service Efficiency Gains,id-public value-serviceefficiency,"Documented improvements in government service delivery speed, cost, or quality attributed to digital ID system","Text (400 characters max); ""NA"" if unknown or not applicable","Types of evidence to seek: time savings (e.g. registration reduced from days to hours), cost savings (per-transaction or aggregate), error reduction rates, queue reduction, digital vs manual processing comparisons. Include specific before/after metrics where available. Note whether evidence comes from formal evaluation, government claims, or anecdotal reports.","Sources: Government efficiency reports, case studies, impact evaluations. Document time reductions (e.g., registration from days to hours), cost savings, reduced duplicate payments."
Public Value,Financial Inclusion Impact,id-public value-financialinclusion,"Evidence of digital ID contributing to increased access to financial services, particularly for previously unbanked populations","Text (400 characters max); ""NA"" if unknown or not applicable","Metrics to seek: bank account ownership rates before/after ID rollout, mobile money adoption linked to ID verification, KYC simplification impact, previously unbanked populations gaining access. Reference World Bank Findex data waves (2011, 2014, 2017, 2021) for trend data. Note whether causation or correlation with ID system is established.","Sources: Central bank financial inclusion reports, World Bank Findex data, impact studies. Check for correlation between ID rollout and bank account opening rates."
Public Value,Stakeholder Engagement,id-public value-stakeholderengage,"Whether ID system design and governance involves multi-stakeholder participation including civil society, domain experts, and affected communities","Text (400 characters max); ""NA"" if unknown or not applicable","Assessment scale: Yes (formal multi-stakeholder mechanisms) / Limited (ad hoc consultation) / No (no documented engagement). Describe: consultation mechanisms (advisory board, public hearings, comment periods), civil society participation, academic involvement, private sector representation, affected community voices. Note whether engagement is ongoing governance or one-off design phase.","Sources: ID system governance documents, consultation records, advisory board compositions. Check for formal civil society involvement, public consultations, advisory committees."
Public Value,Performance Reviews,id-public value-performancereview,Whether ID authority performance and system governance is regularly reviewed and publicly reported,"Text (400 characters max); ""NA"" if unknown or not applicable","Start with Yes/No, then describe: review type (annual report, parliamentary committee, audit office, independent evaluation), frequency, whether publicly available, key performance indicators reported (registration numbers, service delivery, financial performance, user satisfaction). Note any gap between review mandate and actual practice.","Sources: Annual reports, parliamentary oversight, audit reports. Check for regular public reporting on registration numbers, service delivery, financial performance."
Public Value,Anti-Corruption Benefits,id-public value-anticorruption,"Documented cases where digital ID has reduced corruption, duplicate payments, ghost workers, or fraud in government systems","Text (400 characters max); ""NA"" if unknown or not applicable","Types of evidence: ghost worker elimination (number removed, payroll savings), duplicate benefit removal (social protection, pensions), procurement transparency improvements, identity fraud reduction in public services. Include monetary savings estimates where documented. Note whether evidence comes from official audits, media reports, or donor evaluations.","Sources: Audit reports, anti-corruption commission reports, case studies. Document ghost worker elimination, duplicate benefit removal, procurement transparency improvements."
Public Value,Economic Value Generated,id-public value-econvalue,"Estimated economic value or GDP contribution from digital ID enabling digital economy activities, reducing transaction costs, or improving market efficiency","Text (400 characters max); ""NA"" if unknown or not applicable","Types of evidence: McKinsey/World Bank economic impact estimates, national digital economy strategy targets, transaction cost reductions, market efficiency gains, new digital services enabled. Report values in both local currency and USD with exchange rate date. Distinguish between projected/modelled estimates and measured outcomes. Reference McKinsey estimate of 3-13% GDP contribution by 2030 as benchmark.","Sources: Economic impact studies, World Bank reports, national digital economy assessments. McKinsey estimates digital ID can contribute 3-13% of GDP by 2030. Context-specific."
Public Value,Public Trust Indicators,id-public value-publictrust,"Evidence of public trust or distrust in the digital ID system including survey data, voluntary adoption rates, or documented concerns","Text (400 characters max); ""NA"" if unknown or not applicable","Types of evidence: Afrobarometer data, national surveys, civil society reports (e.g. Access Now, Privacy International, Article 19), media analysis, court challenges, public protests or boycotts, voluntary vs mandatory adoption rates. High voluntary adoption indicates trust. Document both positive trust indicators and documented concerns/resistance. Note mandatory vs voluntary nature of the system.","Sources: Public opinion surveys, civil society reports, media analysis, voluntary vs mandatory adoption rates. High voluntary adoption indicates trust. Document privacy concerns or resistance."
Social Equity,Rural-Urban Coverage Gap,id-social equity-ruralurbangap,Difference in digital ID coverage between rural and urban populations,"Text (400 characters max); ""NA"" if unknown or not applicable","Ideal format: Urban coverage (X%) — Rural coverage (Y%) = Gap (Z percentage points). Where exact figures unavailable, describe qualitatively using available evidence. Cover: registration coverage gap, credential possession gap, access to registration sites, barriers (distance, cost, awareness, connectivity). Note data source and year. Reference DHS or census data where available.","Sources: ID authority reports with geographic disaggregation, census data, household surveys. Document barriers to rural access: distance to registration sites, costs, awareness."
Social Equity,Disability Accessibility,id-social equity-disabilityaccess,Whether registration and credential use accommodates persons with disabilities and coverage rates among disabled populations if available,"Text (400 characters max); ""NA"" if unknown or not applicable","Assessment: Accessible / Partially accessible / Not accessible. Cover: physical accessibility of registration sites, alternative enrollment methods (home visits, mobile units), sensory accommodations (visual, hearing, cognitive), credential usability for persons with disabilities, any coverage data for disabled populations. Reference CRPD compliance status.","Sources: Disability rights assessments, accessibility audits, registration procedures. Check for physical access, alternative enrollment methods, assisted services, accessible credentials."
Social Equity,Literacy Barriers,id-social equity-literacybarriers,Whether illiteracy presents barriers to enrollment and what accommodations exist,"Text (400 characters max); ""NA"" if unknown or not applicable","Assessment: High barrier / Moderate / Low. Factors: whether signature required vs thumbprint accepted, forms available in local languages, audio/visual guidance at enrollment, assisted enrollment by staff, whether literacy is needed for ongoing credential use (e.g. reading PIN). Include national literacy rate as context. Note any documented cases of exclusion due to illiteracy.","Sources: Registration procedures, literacy rate data, impact assessments. Check if signature required vs thumbprint accepted. Document assistance available for illiterate persons."
Social Equity,Ethnic/Linguistic Minority Access,id-social equity-ethnicminority,Whether ethnic or linguistic minorities face barriers to ID access and any special provisions,"Text (400 characters max); ""NA"" if unknown or not applicable","Issues to explore: language of enrollment forms and interfaces, documentation requirements that may exclude minorities (e.g. requiring documents in official language only), name/script compatibility, ethnic profiling risks, nomadic population provisions, refugee and stateless person access. Note whether the country has recognized ethnic minorities and any constitutional protections.","Sources: Civil society reports, minority rights organizations, human rights assessments. Check for language support, cultural sensitivity, documentation requirements affecting minorities."
Social Equity,Equity Impact Assessment,id-social equity-equityassessment,Whether formal assessments of equity impacts have been conducted and findings documented,"Text (400 characters max); ""NA"" if unknown or not applicable","Start with Yes/No, then describe: type of assessment (human rights impact assessment, data protection impact assessment, equity audit, inclusion study), commissioning body (government, donor, civil society), date, key findings, whether findings were acted upon. Reference any IDS/Research ICT Africa assessments or World Bank safeguard reviews.","Sources: Impact evaluations, human rights assessments, third-party audits. Check for studies on exclusion, discrimination, differential impacts across groups."
Social Equity,Human Rights Safeguards,id-social equity-rightssafeguards,"Documented safeguards to ensure ID system does not infringe on human rights including rights to services without ID, non-discrimination provisions","Text (400 characters max); ""NA"" if unknown or not applicable","Safeguards to check: right to access services without digital ID (alternative channels), non-discrimination provisions in ID legislation, data protection/privacy safeguards, consent requirements, grievance/redress mechanisms, judicial oversight, sunset clauses, purpose limitation. Note whether ID is de jure mandatory, de facto mandatory (needed for essential services), or voluntary. Reference Principles on Identification (World Bank) compliance.","Sources: Human rights legislation, ID legislation, civil society assessments. Check that ID is not sole credential for basic rights, non-discrimination provisions exist, vulnerable groups protected."
