Chapter,Section,Variable Name,Variable Id,Definition,Format,Other Metadata
GovTech Maturity,e-Procurement,Interoperability,govtech-procure-12.6,Does eProcurement Portal exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),
GovTech Maturity,e-Procurement,Governance,govtech-procure-12.8,"Governance of eProcurement operations (registers, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Debt Management,Debt system exists,govtech-debt-13,Is there a Debt Management System (DMS) in place? (foreign and domestic debt),0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Debt Management,Software,govtech-debt-13.4,Type of DMS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Debt Management,Investment system exists,govtech-debt-14,Is there a Public Investment Management System (PIMS) in place?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Debt Management,Software,govtech-debt-14.4,Type of PIMS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Debt Management,Interoperabiaity,govtech-debt-14.6,Does PIMS exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),
GovTech Maturity,Debt Management,Transparency,govtech-debt-14.7,"Publishing of PIMS project database, results?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Open Source,Policy  ,govtech-opensource-15,Is there a government Open Source Software policy/action plan for public sector?,0=Unknown/n.a;1=No;2=Yes (Advisory/R&D);3=Yes (Mandatory),
GovTech Maturity,Open Source,Governance,govtech-opensource-15.3,Is there an entity taking decisions on adopting/procuring an OSS solution?,0=Unkown/n.a.;1=Ministry level Chief Information Officer 2=Government CIO;3=Other,
GovTech Maturity,Open Source,Level of adoption,govtech-opensource-15.4,What is the level of adoption of OSS policy?,0=Unkown/n.a.;1=Partially adopted in several sectors;2=Extensively adopted,
GovTech Maturity,Open Source,Innovation  ,govtech-opensource-17,Does government have a national strategy on disruptive / innovative technologies?,0=Unknown/n.a;1=No;2=In draft / Planned;3=Yes,"Disruptive / innovative technology strategy with measurable targets (e.g., Artificial Intelligence, Blockchain)"
GovTech Maturity,Public Service Portal,Portal exists,govtech-serviceportal-19,"Is there an online public service portal? (also called ""One-Stop Shop"" or similar)",0=Unknown/n.a;1=No;2=Yes (Informational: Level 1 or 2);3=Yes (Transactional: Level 3 or 4),"Integrated online public service portals, also called ""One-Stop Shop"" or similar, provide access to all available services. UN Level 1 or 2 is mostly information"
GovTech Maturity,Public Service Portal,Citizen involvement,govtech-serviceportal-19.2,Are citizens / businesses involved in the design of e-Services (user-centric design)?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Public Service Portal,Access  ,govtech-serviceportal-19.3,Universal accessibility (omnichannel access)?,0=Unknown/n.a;1=No;2=Yes,Universal accessibility or omnichannel access enables individuals with disabilities and vulnerable groups to gain access to all services and participate fully in all aspects of life in an inclusive society through varied media including mobile phones. The emphasis on universal accessibility is intended to ensure that government-provided services reach all intended beneficiaries and users
GovTech Maturity,Public Service Portal,Mobile access,govtech-serviceportal-19.4,Has the government released any mobile app for the citizens' access to public services?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Public Service Portal,Online business registration,govtech-serviceportal-19.5,Can residents start a business through online service portal?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Public Service Portal,Residency application,govtech-serviceportal-19.6,Can individuals establish an e-residency through online service portal?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Public Service Portal,Transparency,govtech-serviceportal-19.7,Publishing of online service delivery performance/user experience?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Tax Service Portal,Portal exists,govtech-taxportal-20,Is there a Tax online service portal?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),"To select I-20 > 0, I-7 should be 2 (TMIS in use)"
GovTech Maturity,Tax Service Portal,Services,govtech-taxportal-20.2,Available Tax online transactional services,0=Unkown/n.a.;1=Registration + Filing 2=R + F + Payment;3=R + F + P + Other,
GovTech Maturity,Tax Service Portal,Invoicing,govtech-taxportal-20.3,Electronic Invoicing ,0=Unknown/n.a;1=No;2=Planned / In progress 3=Partially implemented 4=Fully implemented / mandatory,
GovTech Maturity,Tax Service Portal,Citizen engagement,govtech-taxportal-20.4,Are citizens/businesses involved in the design of tax online services?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Tax Service Portal,Access,govtech-taxportal-20.5,Universal accessibility (omnichannel access)?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Social Insurance Portal,Portal exists,govtech-socialportal-24,Is there a Social Insurance/Pension online service portal?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),"To select I-24 > 0, I-11 should be 2 (SI System in use)"
GovTech Maturity,Social Insurance Portal,Services,govtech-socialportal-24.2,Available SI / Pension online transactional services,0=Unkown/n.a.;1=Registration + Benefits;2=R + B + Payments;3=R + B + P + Other,Involvement of citizens/businesses: Providing feedback on user experience and expectations for the design of SI/Pension services
GovTech Maturity,Social Insurance Portal,Citizen engagement,govtech-socialportal-24.3,Are citizens involved in the design of SI / Pension services/portal? ,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Social Insurance Portal,Access,govtech-socialportal-24.5,Universal accessibility (omnichannel access)?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Job Portal,Portal exists,govtech-job-25,Is there a Job portal?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Job Portal,Services,govtech-job-25.2,Available online transactional Job portal services,0=Unkown/n.a.;1=Registration + Search;2=R + S + Applications;3=R + S + A + Other,
GovTech Maturity,Job Portal,Public sector opportunities,govtech-job-25.3,Inclusion of public sector positions in the Job portal?,0=Unkown/n.a.;1=Separate Job Portal for public employees;2=Primary job portal is used for public employees as well,
GovTech Maturity,Job Portal,Citizen engagement,govtech-job-25.4,Are citizens/employees involved in the design of services/portal?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Job Portal,Access,govtech-job-25.5,Universal accessibility (omnichannel access)?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Open Data Portal,Portal exists,govtech-opendata-29,Is there an Open Data portal?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Open Data Portal,Update frequency,govtech-opendata-29.2,Update frequency of Open Data portal,0=Unkown/n.a.;1=Annually 2=Quarterly / Monthly;3=Weekly / Daily,
GovTech Maturity,Open Data Portal,Contents,govtech-opendata-29.3,Contents / maturity of Open Data portal,0=Unkown/n.a.;1=Basic info / datasets;2=Comprehensive data catalog,
GovTech Maturity,Open Data Portal,API updating,govtech-opendata-29.4,Is the portal dynamically updated (via APIs)?,0=Unkown/n.a.;1=Yes (mostly manual);2=Yes (automated updates via APIs),
GovTech Maturity,Citizen Participation,Platforms exist,govtech-particip-30,Are there national platforms that allow citizens to participate in policy decision-making?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Participation,Petitions,govtech-particip-30.2,Is it possible to submit petitions?,0=Unknown/n.a;1=No;2=Yes (the same citizen participation portal for petitions as well);3=Yes (separate portal for petitions),
GovTech Maturity,Citizen Participation,Citizen engagement,govtech-particip-30.3,Can citizens / businesses participate in policy decision-making through this platform?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Participation,Anonymous feedback,govtech-particip-30.4,Can citizens / businesses provide anonymous feedback?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Participation,Access,govtech-particip-30.5,Universal accessibility (omnichannel access)?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Participation,Transparency,govtech-particip-30.6,Are government's responses to citizens / businesses publicly available?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Citizen Feedback,Feedback portals,govtech-feedback-31,"Are there government platforms that allow citizens to provide feedback (e.g., complements, complaints, suggestions, info requests) on service delivery?",0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Feedback,Transparency,govtech-feedback-31.2,"Does the government make the service standards (e.g., response times and procedures) available to the public?",0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Feedback,Inclusivity,govtech-feedback-31.3,"Are these platforms universally accessible or provide support for users with disabilities (e.g., e-services, availability of voice commands)?",0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Feedback,AI functionality,govtech-feedback-31.4,"Is there any advanced technology (e.g., chatbots or AI-enabled discussion forums) used to improve citizen engagement?",0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Feedback,Access,govtech-feedback-31.5,Universal accessibility (omnichannel access)?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Citizen Feedback,Government response,govtech-feedback-31.6,Does the Gov respond to citizen feedback? (how the Gov has updated their services in response to citizen feedback),0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,GovTech Governance,Tech Governance body exists,govtech-govtech-33,"Is there a government entity focused on GovTech (digital transformation, WoG, online services, etc.)?",0=Unknown/n.a;1=No;2=Planned / In progress;3=Yes (Established),WoG: Whole of Government
GovTech Maturity,GovTech Governance,Coordinating body exists,govtech-govtech-33.8,"Is there a Coordination Body (SC, Council) leading GovTech initiatives?",0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,GovTech Governance,Audit body exists,govtech-govtech-33.9,Is there an entity to monitor & report Digital/GovTech spending for the whole government?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,GovTech Governance,Transparency,govtech-govtech-33.1,Publishing of the GovTech institution's annual progress report (results / spending)?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Data Governance,Data governance body exists,govtech-datagov-34,Is there a dedicated government entity in charge of data governance or data management?,0=Unknown/n.a;1=No;2= Planned / In progress;3=Yes (Established),
GovTech Maturity,Data Governance,Type of body,govtech-datagov-34.4,Type of Data Governance institution,0=Unkown/n.a.;1=Part of another institution;2=Autonomous institution,
GovTech Maturity,Data Governance,Arrangements,govtech-datagov-34.5,Data Governance implementation arrangements,0=Unkown/n.a.;1=Holistic DG approach;2=Multilevel DG approach,Holistic approach: Central DG body supporting all entities; Multilevel DG approach: Central or Federal agency for guidelines. DG impl by each federal/state entity separately
GovTech Maturity,Data Governance,Strategy,govtech-datagov-34.6,Is there a Data Governance strategy / policy?,0=Unknown/n.a;1=No;2= Planned / In progress;3=Yes (Approved),
GovTech Maturity,Data Governance,Transparency,govtech-datagov-34.7,Publishing of the Data Governance institution's progress report (results/spending)?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Digital Transformation Strategy,Strategy,govtech-digitransform-35,Is there a GovTech / Digital Transformation strategy? ,0=Unknown/n.a;1=No;2= Planned / In draft;3=Yes (old/to be updated);4=Yes (new/current),
GovTech Maturity,Digital Transformation Strategy,Whole of government approach,govtech-digitransform-36,Is there a whole-of-government approach to public sector digital transformation?,0=Unknown/n.a;1=No;2= Planned / In draft;3=Yes (Institutionalized),"To select I-36=2, I-2, I-3, I-4 should be 2 (EA, Interoperability, GSB in use)"
GovTech Maturity,Digital Transformation Strategy,Leadership,govtech-digitransform-36.2,Is there a Ministry / Dept leading the public sector digital transformation / cultural change / WoG approach?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Digital Transformation Strategy,Cross-government forum,govtech-digitransform-36.3,"Is there a cross government forum where strategic WoG topics (digital, data, technology, capacity) can be addressed by senior digital officials across government?",0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Digital Transformation Strategy,Transparency,govtech-digitransform-36.4,"Publishing of the progress in WoG approach / digital transformation (results, spending)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Right to Information,Legislation exists,govtech-rti-37,Are there RTI Laws to make data/info available to the public online or digitally?,0=Unknown/n.a;1=No;2=Draft / Consultations in progress;3=Yes (Effective),
GovTech Maturity,Right to Information,Monitoring,govtech-rti-37.3,Is there an entity monitoring implementation/compliance?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Right to Information,RTI transparency,govtech-rti-37.4,"Publishing of the progress in implementing RTI laws (RTI requests received, granted, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Data Protection,Legislation exists,govtech-dataprotect-38,Is there a Data Protection / Privacy law?,0=Unknown/n.a;1=No;2=Draft / Consultations in progress;3=Yes (Effective),
GovTech Maturity,Data Protection,Monitoring,govtech-dataprotect-38.4,Is there an entity monitoring implementation/compliance?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Data Protection,Transparency,govtech-dataprotect-38.5,Publishing of the data protection/privacy complaints and feedback?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Data Protection,DPA exists,govtech-dataprotect-39,Is there a Data Protection Authority?,0=Unknown/n.a;1=No;2=Not established yet (visible in law);3=Yes,
GovTech Maturity,Data Protection,DPA transparency,govtech-dataprotect-39.4,Publishing of the Data Protection Authority performance/results?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Digital Skills,Strategy,govtech-skills-45,Is there a government strategy / program to improve digital skills in the public sector?,0=Unknown/n.a;1=No;2=Yes (Only strategy or program);3=Yes (Both strategy and program),
GovTech Maturity,Digital Skills,Focus areas,govtech-skills-45.4,Focus areas of the DS strategy,0=Unkown/n.a.;1=Basic Digital Skills;2=Basic DS + Data Literacy;3=Advanced DS + DL,
GovTech Maturity,Digital Skills,Programme,govtech-skills-45.5,Is there a DS program?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Digital Skills,Programme,govtech-skills-45.5,If Yes > Type of primary DS program(s),0=Unkown/n.a.;1=Academic program;2=Public sector program;3=CSO/Private program,
GovTech Maturity,Digital Skills,Programme,govtech-skills-45.5,If Yes > DS program mandatory for new public employees?,0=Unkown/n.a.;1=Not mandatory;2=Mandatory,
GovTech Maturity,Digital Skills,Citizens and schools,govtech-skills-45.6,Are there digital skills programs offered by governments for citizens/schools?,0=Unknown/n.a;1=No;2=Yes (fee-based programs);3=Yes (freely available programs),
GovTech Maturity,Digital Skills,Transparency,govtech-skills-45.7,Publishing of the results/progress in DS programs?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Public Sector Innovation,Strategy,govtech-publicinnov-46,Is there a strategy and/or program to improve public sector innovation?,0=Unknown/n.a;1=No;2=Yes (Only strategy or program);3=Yes (Both strategy and program),
GovTech Maturity,Public Sector Innovation,Programme,govtech-publicinnov-46.4,Is there a PSI program?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Public Sector Innovation,Programme,govtech-publicinnov-46.4,If Yes > Type of primary PSI program(s),0=Unkown/n.a.;1=Academic program;2=Public sector program;3=CSO/Private program,
GovTech Maturity,Public Sector Innovation,Programme,govtech-publicinnov-46.4,If Yes > PSI program mandatory for new public employees?,0=Unkown/n.a.;1=Not mandatory;2=Mandatory,
GovTech Maturity,Public Sector Innovation,Transparency,govtech-publicinnov-46.5,Publishing of the results/progress in PSI programs?,0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Public Sector Innovation,Leadership,govtech-publicinnov-47,Is there a government entity focused on public sector innovation?,0=Unknown/n.a;1=No;2=Planned / In progress;3=Yes (Established),
GovTech Maturity,Public Sector Innovation,Focus areas,govtech-publicinnov-47.4,Focus areas of PSI institution (Innovation Lab),0=Unkown/n.a.;1=Digital Skills;2=PS Innovation;3=Digital Skills + PS Innovation;4=Other,
GovTech Maturity,Public Sector Innovation,Public-private collaboration,govtech-publicinnov-47.5,Is there any collaboration on PSI with the private sector?,0=Unknown/n.a;1=No;2=Yes,
