Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2020,"NIIMS Regulations 2020, Section 9 explicitly states that presentation of the Huduma card or Huduma Namba authenticated by biometrics constitutes sufficient proof of identity. Maisha Card serves as legal ID for government services, passports, and EAC travel. Accepted for banking, SIM registration, and all public services.",id-governance-legalproof,20,https://ict.go.ke/sites/default/files/2024-09/The%20Registration%20of%20Persons%20(National%20Integrated%20Identity%20Management%20System)%20Regulations%202020.pdf | https://www.kictanet.or.ke/understanding-maisha-namba-kenyas-new-digital-identity-system/ | https://new.kenyalaw.org/akn/ke/act/1947/33,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",1, No,2023,"Legal basis derives from Registration of Persons Act 1947 (amended 2018), NIIMS Regulations 2020, and Registration of Persons (Amendment) Regulations 2023. Framework relies primarily on secondary legislation rather than a dedicated primary Digital ID Act. Courts found the framework inadequate in 2020 and 2021. Temple iLIT (2025) concluded legal authority is inadequate. Ongoing litigation.",id-governance-legframework,16,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://catalystsforcollaboration.org/case-study-kenyas-biometric-id-system/ | https://www.cambridge.org/core/journals/data-and-policy/article/an-assessment-of-the-legal-and-regulatory-framework-supporting-the-implementation-of-the-national-integrated-identity-management-system-niims-in-kenya/617BC651E2C09DE2CDD175C73A1C90E2,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Biometric Data Collection,"Whether the system collects biometric data and which modalities are collected (fingerprints, facial image, iris scans)",3, Facial/Iris,2023,"Maisha Namba collects fingerprints (all 10), facial photographs, and iris scans. Automated Biometric Identification System (ABIS) in use. DNA and GPS data collection was halted by 2020 High Court ruling. Multi-modal biometric collection confirmed.",id-system-biocollect,7,https://hudumaglobal.com/blog/maisha-namba-kenya-digital-identity-system-national-id-passports | https://catalystsforcollaboration.org/case-study-kenyas-biometric-id-system/ | https://www.amnestykenya.org/wp-content/uploads/2024/01/Digital-ID-in-Kenya-FINAL-POLICY-PAPER_Print.pdf,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,3, Digital,2023,"Centralised NIIMS/IPRS biometric master database stores all personal and biometric data. NRB operates an Electronic Document Management System (EDMS) with 37 million registration records. Hub-and-spoke model connects biometric database to functional databases (KRA, NSSF, NHIF, NEMIS).",id-system-dbelectronic,11,https://www.amnestykenya.org/wp-content/uploads/2024/01/Digital-ID-in-Kenya-FINAL-POLICY-PAPER_Print.pdf | https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://ict.go.ke/sites/default/files/2024-09/The%20Registration%20of%20Persons%20(National%20Integrated%20Identity%20Management%20System)%20Regulations%202020.pdf,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Digital ID System Exists,"Whether the country has established or is actively developing a national digital identity system, including foundational ID systems that enable authentication across multiple services. Fully deployed means operational nationwide and accepting new registrations.",4, Partially deployed,2023,"Kenya operates the Maisha Namba/NIIMS system launched in 2023, a third-generation electronic ID (Maisha Card) with biometric chip, UPI assigned at birth, and National Population Master Register. 13+ million enrolled by mid-2024, targeting 32 million adults. System operational but mid-rollout with ongoing legal challenges.",id-system-didexists,1,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://www.kictanet.or.ke/understanding-maisha-namba-kenyas-new-digital-identity-system/ | https://streamlinefeed.co.ke/news/kenyas-digital-id-maisha-namba-rollout-and-public-concerns,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,System Interoperability,Whether the digital ID system is designed to be interoperable across government agencies and with other systems through APIs or data exchange protocols,2, Yes,2023,"IPRS connected to all MDAs, financial institutions, and telecoms. PS confirmed NRB, civil registration, and immigration all connected through IPRS interoperability. Maisha Namba linked to NEMIS, SHA/NHIF, KRA, NSSF, eCitizen, land registries. Hub-and-spoke architecture with multiple government databases.",id-system-sysinterop,9,https://citizenshiprightsafrica.org/kenya-digital-identity-id-roll-out-on-course-ps/ | https://www.kictanet.or.ke/understanding-maisha-namba-kenyas-new-digital-identity-system/ | https://www.amnestykenya.org/wp-content/uploads/2024/01/Digital-ID-in-Kenya-FINAL-POLICY-PAPER_Print.pdf,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,5,<1,2023,"Maisha Namba assigned at birth during civil registration - newborns receive UPI immediately. System is lifecycle-based from birth to death. Traditional national ID issued at age 18. Birth registration linked directly to Maisha Namba assignment, making coverage theoretically universal from birth.",id-uptake-enrolleligible,28,https://www.kictanet.or.ke/understanding-maisha-namba-kenyas-new-digital-identity-system/ | https://ishr.org/kenya-kenyas-maisha-namba-project/ | https://youverify.co/blog/the-new-kenyan-id-card-maisha-namba-explained,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Mandatory Status,"Whether registration for digital ID is mandatory, optional, or mandatory for specific groups",2, Mandatory for some,2023,"Registration of Persons Act makes ID mandatory for citizens 18+. De facto mandatory: ID required to access banking, SIM cards, NHIF/SHA healthcare, social protection, NEMIS school enrollment, M-Pesa. PS stated registration is 'voluntary' but inability to obtain ID bars access to all major services. No legal penalty for non-enrollment but service exclusion is universal.",id-uptake-enrollmandatory,29,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://digitalid.design/evaluation-framework-case-studies/welfare.html | https://new.kenyalaw.org/akn/ke/act/1947/33,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Non-National Eligibility,"Whether non-nationals including refugees, asylum seekers, and permanent residents are eligible to register",2, Some,2023,"NIIMS Regulations 2020 define 'resident individual' to include citizens and foreign nationals with lawful residency. eCitizen Digital ID terms explicitly include 'Kenyan Citizens, Residents, Refugees, and Foreigners'. 2025 SIM registration regulations recognise Refugee Identity Card. Foreigners/Residents have access to some (not all) government services via eCitizen.",id-uptake-nonnateligible,30,https://did.ecitizen.go.ke/terms-and-conditions | https://ict.go.ke/sites/default/files/2024-09/The%20Registration%20of%20Persons%20(National%20Integrated%20Identity%20Management%20System)%20Regulations%202020.pdf | https://usajili.go.ke/refugees-can-now-register-sim-cards-using-refugee-id-new-telecom-regulations-affirm,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Social Services Use,Whether credential is accepted or mandatory for registering for social assistance programs and accessing social services,3, Mandatory,2023,"National ID required for NSSF (national social security), social protection programs for orphans, vulnerable children, sick, and aged. NEMIS school enrollment requires parental ID and child UPI. Maisha Namba is required field for NEMIS enrollment per 2024 civil society interviews. Without digital ID: barred from all social support programs.",id-uptake-socialservicesuse,48,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://digitalid.design/evaluation-framework-case-studies/welfare.html | https://ishr.org/kenya-kenyas-maisha-namba-project/,3,OK,,,,,,,,,
